"characteristic","number '000","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"characteristic","number '000","from","to","%","from","to"
"total","1,297.8","1,096.4","1,499.2","16.2","14.0","18.7"
"age group","","","","","",""
"15 to 19","316.3","242.6","390.0","29.9","24.4","36.0"
"20 to 24","312.9","184.3","441.5","29.2","21.3","38.6"
"25 to 29","278.9","155.8","402.0","26.8","18.4","37.2"
"30 to 34","197.1","106.1","288.0","20.0","13.4","28.9"
"35 to 39","120.2","71.0","169.3","9.7","6.4","14.4"
"40 to 49","72.37","40.7","104.1","2.8","1.8","4.1"
"marital status","","","","","",""
"married","242.9","145.8","340.1","7.6","5.2","10.8"
"common-law","303.8","198.0","409.7","22.5","17.5","28.4"
"previously married","22.4","7.2","37.6","4.7","2.4","9.0"
"single","728.6","570.1","887.1","24.7","20.2","29.9"
"parity","","","","","",""
"nulliparous","932.0","767.5","1,096.4","25.9","21.7","30.7"
"parous","365.1","261.1","469.1","8.4","6.5","10.9"
"sexually active in past year","","","","","",""
"no","175.3","69.5","281.2","13.7","7.9","22.6"
"yes","1,121.8","950.7","1,292.8","16.9","14.7","19.4"
"immigrant","","","","","",""
"no","1,164.6","971.8","1,357.3","19.0","16.7","21.5"
"yes","133.2","41.1","225.4","7.1","3.7","13.2"
"household income","","","","","",""
"lower","653.2","485.9","820.5","17.0","13.1","21.6"
"higher","644.6","519.9","769.3","15.5","13.0","18.4"
"has regular medical doctor","","","","","",""
"no","150.0","73.9","226.1","13.7","8.9","20.6"
"yes","1,147.8","935.8","1,359.8","16.6","14.0","19.5"
