"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crystal palace","1976-77","third division","3","0","0","0","0","0","0","0","3","0"
"crystal palace","1977-78","second division","30","2","0","0","2","0","0","0","32","2"
"crystal palace","1978-79","second division","31","6","2","0","4","0","0","0","37","6"
"crystal palace","1979-80","first division","42","5","3","1","3","1","0","0","48","7"
"crystal palace","1980-81","first division","31","4","0","0","2","0","0","0","33","4"
"crystal palace","1981-82","second division","36","5","5","2","3","0","0","0","44","7"
"crystal palace","1982-83","second division","42","5","4","0","5","1","0","0","51","6"
"crystal palace","1983-84","second division","40","2","3","0","2","2","0","0","45","4"
"crystal palace","total","total","255","29","17","3","21","4","0","0","293","36"
"san jose earthquakes","1982","nasl","22","1","-","-","22","1","none","none","none","none"
"san jose earthquakes","total","total","22","1","-","-","22","1","none","none","none","none"
"luton town","1984-85","first division","6","0","0","0","3","0","0","0","9","0"
"luton town","total","total","6","0","0","0","3","0","0","0","9","0"
"portsmouth","1984-85","second division","26","7","2","0","0","0","0","0","28","7"
"portsmouth","1985-86","second division","41","8","2","0","7","0","2","0","52","8"
"portsmouth","1986-87","second division","41","8","2","0","3","0","4","2","50","10"
"portsmouth","1987-88","first division","38","2","4","0","2","0","0","0","44","2"
"portsmouth","total","total","146","25","10","0","12","0","6","2","174","27"
"leeds united","1988-89","second division","42","6","2","0","3","1","2","0","49","7"
"leeds united","1989-90","second division","2","0","0","0","0","0","0","0","2","0"
"leeds united","total","total","44","6","2","0","3","1","2","0","51","7"
"stoke city","1989-90","second division","5","1","0","0","0","0","0","0","5","1"
"stoke city","1990-91","third division","10","2","1","0","0","0","1","0","12","2"
"stoke city","total","total","15","3","1","0","0","0","1","0","17","3"
"exeter city","1991-92","third division","33","4","4","0","0","0","3","0","40","4"
"exeter city","total","total","33","4","4","0","0","0","3","0","40","4"
"career total","career total","career total","521","68","34","3","39","5","12","2","606","78"
