"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"avellino","2003-04","serie b","34","0","0","0","-","-","34","0","none","none"
"genoa","2004-05","serie b","5","0","0","0","-","-","5","0","none","none"
"catanzaro","2004-05","serie b","21","0","0","0","-","-","21","0","none","none"
"crotone","2005-06","serie b","15","0","0","0","-","-","15","0","none","none"
"messina","2005-06","serie a","10","0","0","0","-","-","10","0","none","none"
"piacenza","2006-07","serie b","37","6","2","0","-","-","39","6","none","none"
"juventus","2007-08","serie a","32","0","4","0","-","-","36","0","none","none"
"palermo","2008-09","serie a","33","0","0","0","-","-","33","0","none","none"
"palermo","2009-10","serie a","35","2","3","0","-","-","38","2","none","none"
"palermo","2010-11","serie a","38","4","5","0","6","0","-","-","49","4"
"palermo","2011-12","serie a","0","0","0","0","2","0","-","-","2","0"
"palermo","total","total","106","6","8","0","8","0","0","0","122","6"
"milan","2011-12","serie a","35","10","3","0","10","1","-","-","48","11"
"milan","2012-13","serie a","26","2","0","0","3","0","-","-","29","2"
"milan","2013-14","serie a","11","0","2","0","3","0","-","-","16","0"
"west ham","2013-14","premier league","10","0","0","0","-","-","10","0","none","none"
"torino","2014-15","serie a","5","0","0","0","6","0","-","-","11","0"
"parma","2014-15","serie a","20","3","1","0","-","-","21","3","none","none"
"milan","2015-16","serie a","2","0","1","0","-","-","3","0","none","none"
"milan","total","total","74","12","6","0","16","1","0","0","96","13"
"orlando city","2016","mls","21","0","2","0","-","-","23","0","none","none"
"orlando city","2017","mls","31","1","1","0","-","-","32","1","none","none"
"orlando city","total","total","52","1","3","0","0","0","0","0","55","1"
"benevento","2018-19","serie b","6","0","3","0","-","-","9","0","none","none"
"career total","career total","career total","427","28","26","0","30","1","0","0","484","29"
