"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cambridge united","2001-02","division three","7","1","0","0","0","0","0","0","7","1"
"cambridge united","2002-03","division three","17","1","3","0","2","0","3","0","25","1"
"cambridge united","2003-04","division three","21","2","1","0","0","0","1","0","23","2"
"cambridge united","total","total","45","4","4","0","2","0","4","0","55","4"
"fk riga","2004","higher league","0","0","-","-","0","0","0","0","none","none"
"braintree town","2004-05","il premier division","4","0","0","0","-","-","0","0","4","0"
"histon","2004-05","sfl premier division","11","1","0","0","-","-","0","0","11","1"
"cambridge united","2005-06","conference premier","35","5","2","0","-","-","3","2","40","7"
"cambridge united","2006-07","conference premier","31","3","1","0","-","-","0","0","31","3"
"cambridge united","total","total","66","8","2","0","0","0","3","2","71","10"
"kettering town","2007-08","conference north","23","11","2","0","-","-","2","0","27","11"
"stevenage","2008-09","conference premier","15","3","0","0","-","-","5","3","20","6"
"stevenage","2009-10","conference premier","28","3","3","0","-","-","7","5","38","8"
"stevenage","2010-11","league two","19","1","4","0","0","0","1","0","24","1"
"stevenage","total","total","62","7","7","0","0","0","13","8","82","15"
"kettering town","2011-12","conference premier","35","3","2","0","-","-","1","0","38","3"
"chelmsford city","2012-13","conference south","28","1","4","1","-","-","4","0","36","2"
"bury town","2013-14","sfl premier division","0","0","0","0","-","-","0","0","0","0"
"brackley town","2013-14","national league north","15","2","0","0","-","-","0","0","15","2"
"king's lynn town","2014-15","npl premier division","41","4","0","0","-","-","7","1","48","5"
"king's lynn town","2015-16","sfl premier division","34","4","2","0","-","-","3","0","39","4"
"king's lynn town","total","total","75","8","2","0","0","0","10","1","87","9"
"st neots town","2017-18","sfl premier division","22","3","0","0","-","-","3","2","25","5"
"career totals","career totals","career totals","386","48","23","1","2","0","40","13","451","62"
