"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fc honka","2008","veikkausliiga","2","0","none","none","none","none","-","-","2","0"
"fc honka","2009","veikkausliiga","0","0","0","0","-","-","0","0","none","none"
"fc honka","2010","veikkausliiga","6","0","0","0","-","-","1","1","7","0"
"fc honka","2011","veikkausliiga","30","5","0","0","-","-","4","4","34","5"
"fc honka","2012","veikkausliiga","33","1","5","0","-","-","38","1","none","none"
"hjk","2013","veikkausliiga","31","1","1","0","-","-","2","2","34","1"
"hjk","2014","veikkausliiga","27","3","3","0","-","-","4","4","34","3"
"hjk","2015","veikkausliiga","27","2","3","0","-","-","5","5","35","2"
"start","2016","tippeligaen","30","2","2","0","-","-","32","2","none","none"
"start","2017","obos-ligaen","25","2","2","0","-","-","27","2","none","none"
"sandnes ulf","2018","obos-ligaen","27","3","3","0","-","-","30","3","none","none"
"career total","career total","career total","238","19","19","0","0","0","16","0","273","19"
