"","child at home","no children at home"
"","average marginal effects","average marginal effects"
"control over order of work","",""
"none, very little or some","..",".."
"high or very high extent","0.040","0.068"
"control over how the work is done","",""
"none, very little or some","..",".."
"high or very high extent","0.011","-0.007"
"control over speed of work","",""
"none, very little or some","..",".."
"high or very high extent","-0.010","0.013"
"control over hours of work","",""
"none, very little or some","..",".."
"high or very high extent","0.128","0.117"
