"characters","films","films","films"
"characters","the rugrats movie","rugrats in paris: the movie","rugrats go wild"
"characters","1998","2000","2003"
"tommy pickles","elizabeth daily","elizabeth daily","elizabeth daily"
"chuckie finster","christine cavanaugh","christine cavanaugh","nancy cartwright"
"phillip "phil" deville","kath soucie","kath soucie","kath soucie"
"lillian "lil" deville","kath soucie","kath soucie","kath soucie"
"angelica pickles","cheryl chase","cheryl chase","cheryl chase"
"dylan "dil" pickles","tara strong","tara strong","tara strong"
"susie carmichael","cree summer","cree summer","cree summer"
"spike","frank welker","frank welker","bruce willis"
"kimi finster","none","dionne quan","dionne quan"
"stuart "stu" pickles","jack riley","jack riley","jack riley"
"diane "didi" pickles","melanie chartoff","melanie chartoff","melanie chartoff"
"grandpa lou pickles","joe alaskey","joe alaskey","joe alaskey"
"charlotte pickles","tress macneille","tress macneille","tress macneille"
"andrew "drew" pickles","michael bell","michael bell","michael bell"
"chaz finster","michael bell","michael bell","michael bell"
"kira finster","none","julia kato","julia kato"
"elizibeth "betty" deville","kath soucie","kath soucie","kath soucie"
"howard deville","philip proctor","philip proctor","philip proctor"
"ranger frank","david spade","none","none"
"ranger margret","whoopi goldberg","none","none"
"rex pester","tim curry","none","none"
"dr. lipschitz","tony jay","none","tony jay"
"grandpa boris kropotkin","michael bell","silent cameo","none"
"grandma minka kropotkin","melanie chartoff","silent cameo","none"
"aunt miriam pickles","andrea martin","silent cameo","none"
"dr. lucy carmichael","hattie winston","silent cameo","none"
"lulu pickles","none","debbie reynolds","none"
"coco labouche","none","susan sarandon","none"
"jean-claude","none","john lithgow","none"
"mr. yamaguchi","none","mako iwamatsu","none"
"eliza thornberry","none","none","lacey chabert"
"darwin thornberry","none","none","tom kane"
"nigel thornberry","none","none","tim curry"
"donnie thornberry","none","none","flea"
"debbie thornberry","none","none","danielle harris"
"marianne thornberry","none","none","jodi carlisle"
"siri","none","none","chrissie hynde"
"toa","none","none","ethan phillips"
