"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","us","us ac","us adult","us pop","us mod","aus","can","can ac","nz","uk","certifications","album"
"1995","one of us","4","20","16","2","7","1","1","5","11","6","us gold aus: platinum","relish"
"1996","st. teresa","-","-","-","-","-","43","69","42","38","33","none","relish"
"1996","right hand man","-","-","-","-","-","-","-","-","-","-","none","relish"
"1997","ladder","-","-","-","-","-","-","-","-","-","-","none","relish"
"2007","i've got to use my imagination","-","-","-","-","-","-","-","-","-","-","none","breakfast in bed"
"2008","sweeter than the rest","-","-","-","-","-","-","-","-","-","-","none","little wild one"
"2012","shake your hips","-","-","-","-","-","-","-","-","-","-","none","bring it on home"
"2014","thirsty for my tears","-","-","-","-","-","-","-","-","-","-","none","love and hate"
""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country",""-" denotes releases that did not chart or were not released to that country"
