"","alternative estimates","alternative estimates","alternative estimates"
"","case 1","case 2","case 3"
"","number","number","number"
"d1 - eligible population on october 17, 2018","29,892,021","29,892,021","29,892,021"
"","percentage","percentage","percentage"
"d2 - currently using cannabis","14.8","14.8","14.8"
"d3 - current users who will switch to legal","49.2","49.2","49.2"
"d4 - current users who may switch to legal","25.2","25.2","25.2"
"d5 - assumed: 'maybe' switchers who actually switch","50.0","50.0","50.0"
"d6 - not currently using cannabis","85.2","85.2","85.2"
"d7 - current non-users who will try","5.9","5.9","5.9"
"d8 - current non-users who may try","9.4","9.4","9.4"
"d9 - assumed: 'maybe' new users who actually try","50.0","50.0","50.0"
"d11 - share of the fourth quarter 2018","84.8","84.8","84.8"
"","number","number","number"
"projected users of legal cannabis","5,433,652","5,433,652","5,433,652"
"projected users of illegal cannabis","1,689,975","1,689,975","1,689,975"
"projected total users of cannabis","7,123,627","7,123,627","7,123,627"
"","millions of dollars","millions of dollars","millions of dollars"
"projected legal spending","816","917","1,018"
"annualized projected legal spending","3,849","4,325","4,801"
"projected illegal spending","254","285","317"
"annualized projected illegal spending","1,198","1,344","1,495"
"total projected spending","1,069","1,202","1,335"
"total annualized projected spending","5,047","5,670","6,297"
