"party","january 1920","january 1920","january 1920","june/july 1920","june/july 1920","june/july 1920","october 1921","october 1921","october 1921","total seats"
"party","votes","%","seats","votes","%","seats","votes","%","seats","total seats"
"national smallholders and agricultural labourers party","491,114","42.3","78","113,696","73.3","29","32,358","43.3","5","112"
"christian national union party","481,008","41.5","73","15,824","10.2","8","17,174","23.0","1","82"
"national democratic party","68,009","5.9","6","-","-","-","-","-","-","6"
"christian socialist party","25,575","2.2","3","-","-","-","-","-","-","3"
"national centre party","16,200","1.4","0","-","-","-","-","-","-","0"
"independence and '48 party","14,928","1.3","0","-","-","-","-","-","-","0"
"hungarian public interest party","7,142","0.6","0","-","-","-","-","-","-","0"
"christian social and economic party","6,040","0.5","1","-","-","-","-","-","-","1"
"christian national party","4,756","0.4","0","1,098","0.7","2","507","0.7","0","2"
"hungarian workers' party","2,119","0.2","0","1,652","1.1","1","-","-","-","1"
"christian national '48 party","1,087","0.1","0","-","-","-","-","-","-","0"
"national defence party","-","-","-","-","-","-","3,270","4.4","0","0"
"christian democratic civic party","-","-","-","-","-","-","2,522","3.4","0","0"
"independents","42,119","3.6","3","22,931","14.8","4","18,829","25.2","5","12"
"invalid/blank votes","155,580","-","-","4,881","-","-","1,716","-","-","-"
"total","1,315,677","100","164","160,082","100","44","76,376","100","11","219"
"registered voters/turnout","1,487,542","88.4","-","182,223","87.8","-","82,117","93.0","-","-"
"source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover","source: nohlen & stover"
