"type of offence","indigenous","indigenous","indigenous","non-indigenous","non-indigenous","non-indigenous"
"type of offence","cleared by charge","cleared otherwise","total cleared","cleared by charge","cleared otherwise","total cleared"
"type of offence","percent","percent","percent","percent","percent","percent"
"total criminal code (excluding traffic)- "crime rate"","23","43","66","26","11","37"
"violent crime","45","33","79","43","20","63"
"homicide, other violations causing death and attempted murder","81","7","88","66","4","69"
"sexual assault","45","16","61","32","13","45"
"sexual violations against children","66","6","72","51","9","60"
"major assault","62","21","83","61","12","72"
"common assault - level 1","43","38","81","46","25","72"
"other violent criminal code violations","35","39","73","36","20","56"
"property crime","5","49","54","11","8","18"
"breaking and entering","16","17","33","11","3","15"
"shoplifting of $5,000 or under","26","48","74","30","20","50"
"other theft of $5,000 or under","6","26","32","4","4","8"
"mischief","2","59","61","7","14","21"
"other property crime","18","21","39","15","5","20"
"other criminal code offences","33","41","74","60","16","76"
"disturbing the peace","1","61","61","2","39","41"
"administration of justice violations","71","20","91","88","7","95"
"other violations","35","34","69","37","15","52"
"criminal code traffic violations","40","6","46","49","10","59"
"impaired driving","37","6","43","66","15","80"
"other criminal code traffic violations","57","8","65","29","5","34"
"drug offences","30","18","48","43","26","69"
"other federal statute violations","49","32","82","23","58","81"
"youth criminal justice act","83","15","97","86","10","96"
"other federal statutes","41","36","77","12","66","78"
"total - all violations","25","40","65","28","12","40"
