"club","season","league","league","league","national cup","national cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stabæk","2011","tippeligaen","5","0","1","0","","","6","0","none","none"
"stabæk","2012","tippeligaen","20","0","3","0","2","0","","","25","0"
"stabæk","2013","adeccoligaen","29","0","4","1","","","33","1","none","none"
"stabæk","total","total","54","0","8","1","2","0","","","64","1"
"valerenga","2014","tippeligaen","24","2","2","0","","","26","2","none","none"
"valerenga","2015","tippeligaen","23","2","2","2","","","25","4","none","none"
"valerenga","2016","tippeligaen","25","0","4","0","","","29","0","none","none"
"valerenga","2017","eliteserien","21","6","5","1","","","26","7","none","none"
"valerenga","total","total","93","10","13","3","","","","","106","3"
"strømsgodset","2018","eliteserien","25","1","6","0","","","31","1","none","none"
"strømsgodset","2019","eliteserien","3","0","0","0","","","3","0","none","none"
"strømsgodset","total","total","28","1","6","0","","","","","34","1"
"career total","career total","career total","175","11","27","4","2","0","","","204","15"
