"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"rennes","2011-12","ligue 1","2","0","0","0","1","0","3","0"
"rennes","2012-13","ligue 1","15","0","2","0","0","0","17","0"
"rennes","2013-14","ligue 1","2","0","0","0","0","0","2","0"
"rennes","total","total","19","0","2","0","1","0","22","0"
"granada","2013-14","la liga","24","0","1","0","0","0","25","0"
"granada","2014-15","la liga","25","0","2","0","0","0","27","0"
"granada","2015-16","la liga","21","1","3","0","0","0","24","1"
"granada","2016-17","la liga","22","0","0","0","0","0","22","0"
"granada","total","total","92","1","6","0","0","0","98","1"
"strasbourg","2017-18","ligue 1","16","0","3","0","-","-","19","0"
"career total","career total","career total","127","1","11","0","1","0","139","1"
