"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"atlas","1996-97","primera division","24","2","-","-","24","2","none","none"
"atlas","1997-98","primera division","20","1","-","-","20","1","none","none"
"atlas","1998 -99","primera division","33","3","-","-","33","3","none","none"
"atlas","total","total","77","6","-","-","77","6","none","none"
"monaco","1999-2000","ligue 1","23","3","2","0","6","0","31","3"
"monaco","2000-01","ligue 1","15","1","0","0","4","0","19","1"
"monaco","2001-02","ligue 1","19","0","3","0","-","-","22","0"
"monaco","2002-03","ligue 1","30","1","0","0","-","-","30","1"
"monaco","total","total","87","5","5","0","10","0","102","5"
"barcelona","2003-04","la liga","22","1","6","0","3","0","31","1"
"barcelona","2004-05","la liga","34","3","1","0","6","0","41","3"
"barcelona","2005-06","la liga","25","0","4","1","8","0","37","1"
"barcelona","2006-07","la liga","21","1","7","0","7","0","35","1"
"barcelona","2007-08","la liga","23","2","5","0","8","0","36","2"
"barcelona","2008-09","la liga","23","1","4","1","10","1","37","3"
"barcelona","2009-10","la liga","15","1","3","0","5","0","23","1"
"barcelona","total","total","163","9","30","2","47","1","240","12"
"new york red bulls","2010","major league soccer","10","1","2","0","-","-","12","1"
"new york red bulls","2011","major league soccer","19","0","2","0","-","-","21","0"
"new york red bulls","2012","major league soccer","15","0","2","0","-","-","17","0"
"new york red bulls","total","total","44","1","6","0","-","-","50","1"
"leon","2012-13","liga mx","13","0","-","-","1","0","14","1"
"leon","2013-14","liga mx","25","1","-","-","7","0","32","1"
"leon","2014-15","liga mx","2","0","-","-","2","0","none","none"
"leon","total","total","40","1","-","-","8","0","48","2"
"hellas verona","2014-15","serie a","26","0","3","0","-","-","29","0"
"hellas verona","2015-16","serie a","9","0","1","0","-","-","10","0"
"hellas verona","total","total","35","0","5","0","-","-","39","0"
"atlas","2015-2016","liga mx","14","1","-","-","14","1","none","none"
"atlas","2016-2017","liga mx","23","0","-","-","23","0","none","none"
"atlas","2017-2018","liga mx","21","0","-","-","21","0","none","none"
"atlas","total","total","58","1","-","-","58","1","none","none"
"career total","career total","career total","504","23","46","2","65","1","615","26"
