"","1996","1996","2016","2016"
"","workers","proportion of workers aged 55 and over","workers","proportion of workers aged 55 and over"
"","number","percent","number","percent"
"occupation","","","",""
"specialist physicians","21,400","22.8","44,500","30.8"
"dentists","15,700","15.1","21,400","29.6"
"general practitioners and family physicians","37,400","19.8","56,300","28.9"
"nursing co-ordinators and supervisors","13,800","14.0","15,700","25.5"
"nurse aides, orderlies and patient service associates","117,500","11.3","245,500","23.1"
"medical laboratory technologists","17,600","4.9","19,800","21.4"
"other assisting occupations in support of health services","19,000","6.4","33,500","20.8"
"registered nurses and registered psychiatric nurses","226,600","9.4","286,200","19.8"
"pharmacists","20,300","11.3","36,300","17.1"
"medical laboratory technicians and pathologists' assistants","20,500","6.7","22,000","17.0"
"licensed practical nurses","38,800","8.2","69,600","16.1"
"medical radiation technologists","13,100","5.3","19,400","15.6"
"physiotherapists","12,800","6.2","24,100","13.8"
"other technical occupations in therapy and assessment","10,700","6.0","10,900","13.3"
"dental assistants","21,100","2.5","32,500","11.2"
"dental hygienists and dental therapists","11,100","1.0","26,100","11.0"
"paramedical occupations","13,200","3.9","26,800","9.9"
