"year","education level at landing","education level at landing","education level at landing","education level at landing","education level at landing"
"year","high school or less","some university","bachelor's degree","education greater than a bachelor's degree","total"
"year","share","share","share","share","share"
"2001","0.009","0.014","0.012","0.014","0.012"
"2002","0.013","0.020","0.020","0.022","0.018"
"2003","0.013","0.024","0.024","0.026","0.020"
"2004","0.015","0.029","0.030","0.032","0.024"
"2005","0.017","0.033","0.037","0.040","0.029"
"2006","0.019","0.038","0.046","0.047","0.034"
"2007","0.023","0.045","0.055","0.057","0.040"
"2008","0.027","0.051","0.063","0.067","0.045"
"2009","0.029","0.055","0.068","0.072","0.049"
"2010","0.031","0.060","0.076","0.078","0.053"
