"","total","men","women"
"","percent","percent","percent"
"relatives in canada prior to admission","","",""
"had relatives living in canada prior to admission","44.3","41.0","47.9"
"did not have relatives living in canada prior to admission","55.7","59.0","52.1"
"friends in canada prior to admission","","",""
"had friends living in canada prior to admission","63.0","66.4","59.3"
"did not have friends living in canada prior to admission","37.0","33.7","40.7"
"friends made in the first six months after admission in canada","","",""
"most post-immigration friends are of different ethnicity than the immigrant","19.5","19.9","19.0"
"about half of post-immigration friends are of different ethnicity than the immigrant","10.9","12.0","9.6"
"most post-immigration friends are of the same ethnicity as the immigrant","57.5","57.7","57.3"
"no friends made after six months","12.2","10.4","14.2"
"contacted organizations in canada","","",""
"contacted work-related organization within first six months after admission","1.4","1.7","1.1"
"contacted non-work-related organization within first six months after admission","20.7","21.6","19.8"
"no contact with organization","77.8","76.7","79.1"
