"perceptions of safety","women","women","men","men","total","total"
"perceptions of safety","victims","non-victims","victims","non-victims","victims","non-victims"
"perceptions of safety","percent","percent","percent","percent","percent","percent"
"live in a welcoming community","","","","","",""
"yes","85","92","89","93","86","92"
"no","13","6","f","5","13","6"
"social disorder in the neighbourhood","","","","","",""
"one or more big problems","18","8","24","7","19","8"
"one or more moderate problems but no big problems","18","14","26","14","19","14"
"one or more small problems but no moderate or big problems","34","29","28","31","33","30"
"no problems at all","27","45","22","45","26","45"
"neighbours would call the police if they witnessed criminal behaviour","","","","","",""
"very likely","57","65","49","65","56","65"
"somewhat likely","33","25","36","27","34","26"
"somewhat unlikely","7","3","f","3","7","3"
"not at all likely","f","3","f","3","f","3"
"crime in the neighbourhood compared to other areas in canada","","","","","",""
"higher","6","4","24","4","9","4"
"about the same","28","20","26","19","28","19"
"lower","65","74","50","74","63","74"
"crime in the neighbourhood compared to five years ago","","","","","",""
"increased","25","13","27","11","25","12"
"about the same","65","78","54","77","64","78"
"decreased","9","8","f","11","10","10"
"trust in people in the neighbourhood","","","","","",""
"cannot be trusted","16","9","26","8","17","8"
"neutral","37","25","28","27","36","26"
"can be trusted","47","64","45","64","47","64"
"trust in strangers","","","","","",""
"cannot be trusted","69","60","61","56","68","58"
"neutral","28","28","35","31","29","29"
"can be trusted","3","9","f","10","3","10"
"confidence in the police","","","","","",""
"a great deal of confidence","29","46","28","44","29","45"
"some confidence","50","46","47","46","49","46"
"not very much confidence","15","5","f","7","15","6"
"no confidence at all","5","1","f","3","7","2"
