"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"le havre","2009-10","ligue 2","27","1","0","0","0","0","0","0","0","0","27","1"
"le havre","2010-11","ligue 2","22","0","0","0","3","0","0","0","0","0","25","0"
"le havre","2011-12","ligue 2","20","1","2","0","1","0","0","0","0","0","23","1"
"le havre","2012-13","ligue 2","28","0","4","0","1","0","0","0","0","0","33","0"
"le havre","2013-14","ligue 2","31","2","0","0","1","0","0","0","0","0","32","2"
"le havre","2014-15","ligue 2","33","1","1","0","1","0","0","0","0","0","35","1"
"le havre","total","total","161","5","7","0","7","0","0","0","0","0","175","5"
"nice","2015-16","ligue 1","26","1","0","0","1","0","0","0","0","0","26","1"
"nice","2016-17","ligue 1","10","0","1","0","1","0","1","1","0","0","13","1"
"nice","2017-18","ligue 1","29","0","1","0","2","0","9","0","0","0","41","0"
"nice","total","total","65","1","1","0","2","0","9","1","0","0","77","2"
"fulham","2018-19","premier league","21","0","1","0","2","0","0","0","0","0","24","0"
"fulham","total","total","21","0","1","0","2","0","0","0","0","0","24","0"
"career total","career total","career total","247","6","9","0","11","0","9","1","0","0","276","7"
