"variables","no link","with link","difference","confidence interval"
"age","42.5","40.9","-1.6","(-2.2, -1.0"
"sex","57.7","47.1","-10.6","(-15.8, -5.4"
"married","32.3","42.7","10.4","(5.3, 15.5"
"common-law","30.9","25.0","-5.9","(-10.1, -1.8"
"separated/divorced/widowed","14.7","11.2","-3.5","(-7.0, 0.0"
"single","21.9","21.1","-0.9","(-6.0, 4.3"
"age, first marriage","26.3","27.8","1.5","(0.4, 2.5"
"age, first marriage/union","24.8","26.6","1.8","(1.1, 2.5"
"age, first child","25.9","29.4","3.5","(2.9, 4.2"
"household size","3.1","3.1","0.0","(-0.1, 0.2"
"includes 3 generations or more","3.4","3.2","-0.2","(-2.0, 1.6"
"includes 2 generations or less","77.7","80.2","2.5","(-3.2, 8.2"
"person not in a census family","18.9","16.6","-2.3","(-7.9, 3.3"
"single detached house","67.1","71.8","4.7","(-1.5, 10.9"
"atlantic","8.4","8.3","-0.1","(-1.9, 1.7"
"quebec","26.4","24.6","-1.7","(-6.0, 2.5"
"ontario","35.2","37.4","2.2","(-2.8, 7.3"
"prairies","17.4","17.7","0.3","(-3.0, 3.6"
"bc","12.7","12.0","-0.7","(-4.2, 2.8"
"rural area","21.0","19.3","-1.7","(-5.4, 2.0"
"aboriginal person","8.0","3.6","-4.4","(-7.0, -1.7"
"own education: less than high school","15.0","6.8","-8.2","(-11.2, -5.1"
"own education: high school","26.7","18.3","-8.3","(-12.8, -3.8"
"own education: trade/vocational/apprenticeship","16.4","12.2","-4.2","(-7.6, -0.9"
"own education: some postsecondary","22.8","28.6","5.8","(1.3, 10.3"
"own education: bachelor or above","18.9","33.8","14.9","(10.8, 19.0"
"health: very good/excellent","59.9","66.4","6.4","(1.7, 11.2"
"health: good","28.8","26.7","-2.1","(-6.3, 2.1"
"health: fair/poor","11.0","6.9","-4.1","(-7.1, -1.1"
"employed","76.9","86.5","9.6","(5.6, 13.5"
"self-employed","16.3","13.7","-2.6","(-6.4, 1.2"
"living with both parents at birth","92.2","97.3","5.1","(2.5, 7.7"
"living with both parents at 15","53.0","82.6","29.6","(24.8, 34.4"
"mother education: less than high school","36.0","26.8","-9.2","(-14.1, -4.4"
"mother education: high school","31.6","32.0","0.4","(-4.4, 5.3"
"mother education: some postsecondary","18.3","24.0","5.7","(2.0, 9.4"
"mother education: university","9.1","14.3","5.3","(2.1, 8.5"
"father education: less than high school","39.4","31.2","-8.2","(-13.2, -3.2"
"father education: high school","22.6","21.3","-1.3","(-5.4, 2.7"
"father education: some postsecondary","16.3","23.0","6.7","(3.4, 10.1"
"father education: university","12.6","21.1","8.5","(4.8, 12.2"
"visible minority","8.2","8.2","-0.1","(-3.5, 3.4"
"born in canada, canadian-born parents","76.7","70.7","-6","(-10.4, -1.5"
"foreign-born","6.7","9.1","2.4","(-0.6, 5.4"
"born in canada, at least one foreign-born parent","16.7","20.2","3.5","(-0.5, 7.6"
"number","988","3617","..",".."
