"age group of the accused","females","females","males","males","total","total"
"age group of the accused","number","rate","number","rate","number","rate"
"12 to 17","60","0.5","482","3.5","542","2.0"
"18 to 24","153","0.9","1,809","9.8","1,962","5.4"
"25 to 34","226","0.9","1,542","5.9","1,768","3.4"
"35 to 44","139","0.5","729","2.8","868","1.7"
"45 to 54","72","0.2","509","1.8","581","1.0"
"55 to 64","22","0.1","198","0.8","220","0.4"
"65 and older","7","0.0","141","0.5","148","0.3"
"total","679","0.4","5,410","3.3","6,089","1.8"
