"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"sporting","1996-97","primeira liga","2","1","1","0","0","0","3","1"
"sporting","1997-98","primeira liga","21","1","0","0","2","0","23","1"
"sporting","1998-99","primeira liga","30","10","0","0","2","0","32","10"
"sporting","total","total","53","12","1","0","4","0","58","12"
"barcelona","1999-2000","la liga","21","1","4","0","7","0","32","1"
"barcelona","2000-01","la liga","25","2","4","1","9","0","38","3"
"barcelona","total","total","46","3","8","1","16","0","70","4"
"benfica","2001-02","primeira liga","26","11","1","0","-","-","27","11"
"benfica","2002-03","primeira liga","33","18","0","0","-","-","33","18"
"benfica","2003-04","primeira liga","31","12","4","1","10","2","45","15"
"benfica","2004-05","primeira liga","34","15","4","3","10","4","48","22"
"benfica","2005-06","primeira liga","24","8","3","2","8","2","35","12"
"benfica","2006-07","primeira liga","24","11","3","1","12","4","39","16"
"benfica","total","total","172","75","15","7","40","12","227","94"
"atletico madrid","2007-08","la liga","30","7","3","0","8","3","41","10"
"atletico madrid","2008-09","la liga","33","7","3","0","8","2","44","9"
"atletico madrid","2009-10","la liga","34","2","8","3","17","2","59","7"
"atletico madrid","2010-11","la liga","16","4","1","1","7","1","24","6"
"atletico madrid","total","total","113","20","15","4","40","8","168","32"
"besiktas","2010-11","super lig","15","5","5","3","-","-","20","8"
"besiktas","2011-12","super lig","31","3","2","0","9","2","42","5"
"besiktas","total","total","46","8","7","3","9","2","62","13"
"espanyol","2012-13","la liga","26","3","1","0","-","-","27","3"
"espanyol","2013-14","la liga","34","0","2","2","-","-","36","2"
"espanyol","total","total","60","3","3","2","-","-","63","5"
"northeast united","2015","indian super league","1","1","-","-","1","1","none","none"
"career total","career total","career total","491","122","49","18","103","19","643","159"
