"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"middlesbrough","1930-31","first division","3","3","0","0","3","3"
"middlesbrough","1931-32","first division","3","1","0","0","3","1"
"middlesbrough","total","total","6","4","0","0","6","4"
"brentford","1932-33","third division south","34","38","1","1","35","39"
"brentford","1933-34","second division","41","27","1","0","42","27"
"brentford","1934-35","second division","42","25","1","0","43","25"
"brentford","1935-36","first division","37","13","1","0","38","13"
"brentford","1936-37","first division","41","8","2","1","43","9"
"brentford","1937-38","first division","8","0","4","1","12","1"
"brentford","1938-39","first division","10","5","0","0","10","5"
"brentford","total","total","213","116","10","3","223","119"
"career total","career total","career total","219","120","10","3","229","123"
