"","'data science' share of production activities","investment in 'data science'","investment in 'data science'","investment in 'data science'","investment in 'data science'"
"","2005 to 2018","2005","2010","2015","2018"
"","percent","millions of dollars","millions of dollars","millions of dollars","millions of dollars"
"total of all occupational groups","","","","",""
"lower range value","..","4,829","6,085","11,168","11,991"
"upper range value","..","5,689","7,181","13,145","14,184"
"financial and investment analysts","","","","",""
"lower range value","60","2,848","2,738","6,746","5,950"
"upper range value","70","3,323","3,194","7,870","6,942"
"statistical officers and related research support occupations","","","","",""
"lower range value","90","129","336","360","76"
"upper range value","100","144","373","400","84"
"mathematicians, statisticians and actuaries","","","","",""
"lower range value","50","413","813","995","2,324"
"upper range value","60","495","976","1,194","2,789"
"economists and economic policy researchers and analysts","","","","",""
"lower range value","50","595","936","1,387","1,974"
"upper range value","60","714","1,123","1,664","2,369"
"social policy researchers, consultants and program officers","","","","",""
"lower range value","50","844","1,262","1,681","1,667"
"upper range value","60","1,013","1,514","2,017","2,000"
"","percent","percent","percent","percent","percent"
"annual growth rate","","","","",""
"lower range value","..","..","4.7","12.9","2.4"
"upper range value","..","..","4.8","12.9","2.6"
