"","all","male","female"
"","average marginal effects","average marginal effects","average marginal effects"
"years since immigration","","",""
"1 to 10","..","..",".."
"11 to 20","-0.023","-0.026","-0.025"
"21 to 30","-0.036","-0.040","-0.034"
"31 to 40","-0.081","-0.082","-0.081"
"over 40 years","-0.102","-0.088","-0.116"
"sex","","",""
"male","0.015","..",".."
"female","..","..",".."
"education","","",""
"bachelor's degree or higher","-0.037","-0.029","-0.049"
"some college or university education","-0.028","-0.020","-0.031"
"high school diploma or lower","..","..",".."
"knowledge of official languages","","",""
"english","-0.036","-0.029","-0.047"
"french","-0.024","-0.025","-0.025"
"both english and french","-0.043","-0.030","-0.057"
"neither english nor french","..","..",".."
"hours worked per day by other household members in self-employment","0.003","0.002","0.005"
"household type","","",""
"couple without children","-0.095","-0.062","-0.122"
"couple with children","-0.194","-0.151","-0.197"
"lone-parent","-0.098","-0.082","-0.069"
"other household types","-0.257","-0.236","-0.241"
"single-person","..","..",".."
"presence of other household members aged 26 to 64 years","","",""
"yes","-0.039","-0.012","-0.105"
"no","..","..",".."
"presence of other adult household members who are non-immigrants or who landed over 40 years ago in canada","","",""
"yes","-0.061","-0.067","-0.050"
"no","..","..",".."
"immigrant admission category","","",""
"worker programs and provincial/territorial nominees","-0.028","-0.027","-0.034"
"business programs","0.034","0.028","0.030"
"sponsored immigrants","-0.025","-0.014","-0.029"
"landed prior to 1980","-0.052","-0.049","-0.057"
"refugees","..","..",".."
"source country or region","","",""
"china","0.038","0.028","0.047"
"south asia","-0.016","-0.017","-0.014"
"european countries","-0.039","-0.049","-0.030"
"latin american countries","-0.010","-0.017","-0.003"
"rest of the world","..","..",".."
"social security agreement with canada","","",""
"yes","-0.001","-0.003","0.001"
"no","..","..",".."
"homeownership status","","",""
"yes","-0.116","-0.107","-0.122"
"no","..","..",".."
"activity limitation","","",""
"yes","0.016","0.010","0.022"
"no","..","..",".."
