"census metropolitan area","2017 population count","2017","2017","2016r","2016r","difference from 2016","difference from 2016","average 2007 to 2016","average 2007 to 2016"
"census metropolitan area","number","number of victims","rate","number of victims","rate","number of victims","percent change in rate","number of victims","rate"
"population 500,000 and over","","","","","","","","",""
"toronto","6,273,778","58","0.92","51","0.83","7","11.8","41","0.71"
"montreal","4,148,023","17","0.41","22","0.54","-5","-23.6","18","0.47"
"vancouver","2,572,179","25","0.97","18","0.71","7","37.3","20","0.84"
"calgary","1,494,086","15","1.00","14","0.95","1","5.4","7","0.56"
"edmonton","1,405,619","19","1.35","23","1.66","-4","-18.8","13","1.08"
"ottawa","1,034,893","7","0.68","12","1.18","-5","-42.9","3","0.36"
"winnipeg","810,099","7","0.86","5","0.63","2","37.5","6","0.77"
"quebec","805,502","6","0.74","0","0.00","6","..","0","0.04"
"hamilton","771,489","5","0.65","6","0.79","-1","-17.9","2","0.29"
"kitchener-cambridge-waterloo","559,714","0","0.00","1","0.18","-1","-100.0","1","0.17"
"london","524,581","0","0.00","1","0.19","-1","-100.0","2","0.36"
"population 100,000 to less than 500,000","","","","","","","","",""
"st. catharines-niagara","458,986","0","0.00","0","0.00","0","..","1","0.11"
"oshawa","450,366","1","0.22","0","0.00","1","..","0","0.05"
"halifax","431,721","2","0.46","9","2.12","-7","-78.1","4","1.04"
"victoria","377,551","1","0.26","0","0.00","1","..","0","0.08"
"windsor","338,403","3","0.89","0","0.00","3","..","1","0.15"
"gatineau","335,028","0","0.00","0","0.00","0","..","1","0.32"
"saskatoon","328,835","2","0.61","1","0.31","1","94.8","2","0.53"
"regina","253,630","2","0.79","2","0.81","0","-2.2","1","0.40"
"barrie","221,854","1","0.45","0","0.00","1","..","0","0.00"
"st. john's","208,192","0","0.00","0","0.00","0","..","1","0.35"
"sherbrooke","202,158","1","0.49","1","0.50","0","-1.1","0","0.05"
"kelowna","200,908","2","1.00","2","1.01","0","-1.3","1","0.49"
"abbotsford-mission","190,730","7","3.67","3","1.59","4","130.6","2","1.14"
"kingston","169,901","1","0.59","0","0.00","1","..","0","0.06"
"saguenay","166,715","0","0.00","1","0.60","-1","-100.0","0","0.19"
"greater sudbury","164,926","0","0.00","0","0.00","0","..","0","0.00"
"moncton","159,464","0","0.00","0","0.00","0","..","0","0.21"
"trois-rivieres","157,622","0","0.00","0","0.00","0","..","0","0.26"
"brantford","148,605","1","0.67","1","0.68","0","-1.3","0","0.07"
"guelph","135,474","0","0.00","1","0.75","-1","-100.0","0","0.16"
"saint john","128,726","1","0.78","1","0.78","0","-0.3","1","0.36"
"peterborough","125,666","0","0.00","0","0.00","0","..","0","0.08"
"thunder bay","120,693","0","0.00","0","0.00","0","..","0","0.08"
"cma total","25,876,117","184","0.71","175","0.69","9","3.6","130","0.54"
"canada","36,708,083","266","0.72","223","0.61","43","17.8","177","0.51"
