"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"charlton athletic","2007-08","championship","2","0","0","0","0","0","-","-","2","0"
"charlton athletic","2008-09","championship","16","3","3","1","1","0","-","-","20","4"
"charlton athletic","2009-10","league one","24","4","1","0","0","0","2","0","27","4"
"charlton athletic","total","total","42","7","4","1","1","0","2","0","49","8"
"liverpool","2010-11","premier league","15","0","1","0","1","0","4","0","21","0"
"liverpool","2011-12","premier league","13","1","2","1","1","0","-","-","16","2"
"liverpool","2012-13","premier league","19","1","2","0","1","0","10","4","32","5"
"liverpool","total","total","47","2","5","1","3","0","14","4","69","7"
"blackpool","2011-12","championship","10","6","-","-","10","6","none","none","none","none"
"swansea city","2013-14","premier league","32","6","1","0","1","0","8","0","42","6"
"swansea city","2014-15","premier league","31","3","1","0","3","0","-","-","35","3"
"swansea city","2015-16","premier league","16","1","1","0","2","0","-","-","19","1"
"swansea city","total","total","79","10","3","0","6","0","8","0","96","10"
"newcastle united","2015-16","premier league","15","0","-","-","15","0","none","none","none","none"
"newcastle united","2016-17","championship","42","5","1","0","4","0","-","-","47","5"
"newcastle united","2017-18","premier league","30","1","2","1","0","0","-","-","32","2"
"newcastle united","2018-19","premier league","13","0","1","0","0","0","-","-","14","0"
"newcastle united","total","total","100","6","4","1","4","0","-","-","108","7"
"career total","career total","career total","278","31","16","3","14","0","24","4","332","38"
