"","hiring rates","hiring rates","layoff rates","layoff rates"
"","individuals aged 18 to 64","individuals aged 25 to 54","individuals aged 18 to 64","individuals aged 25 to 54"
"","percent","percent","percent","percent"
"canada","20.2","16.6","5.8","5.0"
"newfoundland and labrador","25.0","20.5","15.7","13.2"
"avalon peninsula","22.1","17.9","10.2","8.7"
"south coast-burin peninsula and notre dame-central bonavista bay","30.0","25.1","25.4","21.5"
"west coast-northern peninsula-labrador","27.0","22.1","19.0","15.6"
"prince edward island","22.5","18.0","12.9","10.8"
"nova scotia","20.1","16.2","8.0","6.9"
"cape breton","23.7","19.1","14.5","12.6"
"north shore","20.5","16.3","9.6","8.3"
"annapolis valley","20.1","16.2","8.2","7.1"
"southern","20.2","16.2","11.1","9.6"
"halifax","18.9","15.4","4.9","4.3"
"new brunswick","21.3","17.1","10.4","8.9"
"campbellton-miramichi","24.6","19.9","20.0","17.0"
"moncton-richibucto","20.8","16.9","8.1","6.8"
"saint john-st. stephen","21.0","16.7","8.0","6.8"
"fredericton-oromocto","19.8","15.9","6.9","5.8"
"edmundston-woodstock","20.2","15.9","11.4","9.4"
"quebec","20.0","16.1","6.7","5.7"
"gaspesie-iles-de-la-madeleine","25.8","20.6","20.7","17.2"
"bas-saint-laurent","20.8","15.8","10.5","8.7"
"capitale-nationale","19.2","15.2","6.5","5.4"
"chaudiere-appalaches","18.7","14.0","6.7","5.3"
"estrie","19.4","15.0","6.8","5.6"
"centre-du-quebec","19.8","15.2","7.4","5.9"
"monteregie","19.1","14.9","5.8","4.8"
"montreal","21.1","18.7","5.3","5.0"
"laval","19.7","15.7","5.1","4.3"
"lanaudiere","19.2","14.7","6.6","5.5"
"laurentides","20.0","15.6","7.0","5.8"
"outaouais","17.3","13.1","5.6","4.6"
"abitibi-temiscamingue","23.8","18.5","11.3","9.2"
"mauricie","20.5","15.8","8.8","7.3"
"saguenay-lac-saint-jean","22.1","16.6","11.5","9.4"
"cote-nord and nord-du-quebec","24.6","19.3","13.4","11.3"
"ontario","18.4","15.0","4.7","4.2"
"ottawa","17.2","13.4","3.9","3.3"
"kingston-pembroke","18.7","14.5","5.1","4.3"
"muskoka-kawarthas","17.8","13.5","5.6","4.8"
"toronto","18.8","16.1","4.2","3.9"
"kitchener-waterloo-barrie","18.0","14.1","4.6","3.9"
"hamilton-niagara peninsula","18.1","14.3","5.0","4.3"
"london","17.9","13.9","4.9","4.1"
"windsor-sarnia","18.3","14.2","6.7","5.9"
"stratford-bruce peninsula","17.4","12.9","5.1","4.1"
"northeast","20.5","15.8","7.4","6.1"
"northwest","19.6","15.3","7.5","6.4"
