"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"philadelphia union","2012","major league soccer","0","0","0","0","0","0","0","0","0","0"
"philadelphia union","2013","major league soccer","0","0","0","0","0","0","0","0","0","0"
"philadelphia union","totals","totals","0","0","0","0","0","0","0","0","0","0"
"harrisburg city islanders","2012","usl pro","8","0","0","0","0","0","1","0","9","0"
"harrisburg city islanders","2013","usl pro","10","0","0","0","0","0","1","0","11","0"
"harrisburg city islanders","totals","totals","18","0","0","0","0","0","2","0","20","0"
"minnesota united","2014","north american soccer league","23","0","0","0","0","0","1","0","23","0"
"minnesota united","2015","north american soccer league","24","0","1","0","0","0","1","0","25","0"
"minnesota united","2016","north american soccer league","1","0","0","0","0","0","0","0","1","0"
"minnesota united","totals","totals","49","0","1","0","0","0","2","0","49","0"
"san francisco deltas","2017","north american soccer league","21","0","1","0","0","0","0","0","21","0"
"san francisco deltas","totals","totals","21","0","1","0","0","0","0","0","21","0"
"charlotte independence","2018","united soccer league","16","1","0","0","0","0","0","0","16","1"
"charlotte independence","totals","totals","16","1","0","0","0","0","0","0","16","1"
"career totals","career totals","career totals","104","1","2","0","0","0","4","0","104","1"
