"club","season","league","league","league","national cup","national cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"fulham","1971-72","second division","8","0","0","0","2","0","10","0"
"fulham","1972-73","second division","1","0","0","0","0","0","1","0"
"fulham","total","total","9","0","0","0","2","0","11","0"
"dallas tornado","1972","north american soccer league","9","1","-","-","9","1","none","none"
"brentford","1976-77","fourth division","32","0","2","0","-","-","34","0"
"brentford","1977-78","fourth division","33","3","0","0","0","0","33","3"
"brentford","1978-79","third division","37","2","1","0","2","0","40","2"
"brentford","1979-80","third division","38","2","1","0","2","0","41","2"
"brentford","total","total","140","7","4","0","4","0","148","7"
"career total","career total","career total","149","7","4","0","6","0","159","7"
