"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dagenham & redbridge","2004-05","conference premier","19","0","0","0","-","-","3","0","22","0"
"dagenham & redbridge","2005-06","conference premier","37","1","1","0","-","-","0","0","38","1"
"dagenham & redbridge","2006-07","conference premier","45","0","1","0","-","-","2","0","48","0"
"dagenham & redbridge","2007-08","league two","32","1","3","0","1","0","0","0","36","1"
"dagenham & redbridge","2008-09","league two","37","2","3","0","0","0","2","0","42","2"
"dagenham & redbridge","total","total","170","4","8","0","1","0","7","0","186","4"
"brentford","2009-10","league one","36","0","4","0","1","0","1","0","42","0"
"wycombe wanderers","2010-11","league two","38","1","1","0","1","0","1","0","41","1"
"wycombe wanderers","2011-12","league one","29","0","1","0","1","0","1","0","32","0"
"wycombe wanderers","2012-13","league two","9","0","0","0","0","0","1","0","10","0"
"wycombe wanderers","total","total","76","1","2","0","2","0","3","0","83","1"
"career total","career total","career total","282","5","14","0","4","0","11","0","311","5"
