"2016 identity group","2011 identity group","2011 identity group","2011 identity group","2011 identity group","2011 identity group"
"2016 identity group","first nationsstatus indians","first nationsnon-status indians","metis","inuit","other"
"2016 identity group","percent","percent","percent","percent","percent"
"first nations status indians","94.0","14.5","3.7","1.8","19.7"
"first nations non-status indians","1.6","30.0","4.0","0.4","6.1"
"metis","1.6","12.2","66.3","1.2","15.1"
"inuit","0.1","0.2","0.1","89.9","0.7"
"other","0.7","2.0","1.6","0.5","8.7"
"non-aboriginal","2.0","41.2","24.3","6.2","49.7"
"total","100.0","100.0","100.0","100.0","100.0"
