"","imports","imports","imports","exports","exports","exports"
"","all firms","immigrant-owned","canadian-owned","all firms","immigrant-owned","canadian-owned"
"","column 1","column 2","column 3","column 4","column 5","column 6"
"","percent","percent","percent","percent","percent","percent"
"north america","51.75","30.53","54.44","72.43","56.83","75.04"
"central and south america","4.60","3.22","4.78","3.58","3.59","3.58"
"northern, western and southern europe","11.67","11.26","11.73","6.55","5.39","6.74"
"eastern europe","0.83","1.41","0.75","2.04","2.04","2.06"
"africa","0.33","0.67","0.28","0.98","2.12","0.79"
"northern africa and the middle east","1.34","3.55","1.06","2.14","4.59","1.73"
"east and southeast asia","26.63","44.04","24.42","10.37","21.91","8.44"
"south asia","2.16","4.07","1.92","0.65","2.56","0.33"
"oceania","0.68","1.24","0.61","1.26","1.07","1.29"
