"noc","boys","boys","boys","boys","boys","girls","girls","girls","girls","girls","total"
"noc","48 kg","55 kg","63 kg","73 kg","+73 kg","44 kg","49 kg","55 kg","63 kg","+63 kg","total"
"afghanistan","none","none","none","none","none","x","none","none","none","none","1"
"argentina","x","none","none","none","none","none","none","none","none","none","1"
"austria","none","none","x","none","none","none","none","none","none","none","1"
"azerbaijan","none","none","none","x","none","x","x","x","none","none","4"
"belgium","none","x","none","none","none","none","x","x","x","none","4"
"bosnia and herzegovina","none","none","none","none","none","none","x","none","none","none","1"
"brazil","none","none","x","none","none","none","none","none","none","x","2"
"cameroon","none","none","none","none","none","none","none","none","x","none","1"
"canada","none","none","none","x","none","none","none","none","none","none","1"
"cape verde","none","none","none","none","none","none","none","none","none","x","1"
"chile","none","x","none","none","none","none","none","none","none","none","1"
"china","none","none","none","none","x","none","x","none","x","x","4"
"colombia","none","none","none","x","none","none","none","none","x","none","2"
"democratic republic of the congo","none","none","none","none","none","none","none","x","none","none","1"
"croatia","none","none","none","none","none","none","none","x","x","none","2"
"czech republic","none","none","none","none","none","none","none","x","none","none","1"
"ecuador","none","x","none","none","none","none","none","none","none","none","1"
"egypt","none","x","none","x","x","none","none","none","x","none","4"
"equatorial guinea","none","x","none","none","none","none","none","none","none","none","1"
"france","x","none","none","none","x","none","none","none","none","none","2"
"gabon","none","x","none","none","none","none","none","none","none","none","1"
"germany","x","none","none","x","none","x","none","x","none","none","4"
"great britain","none","none","x","none","none","x","none","none","none","none","2"
"iran","x","none","none","x","none","none","none","none","x","none","3"
"italy","none","none","none","none","none","none","none","x","none","x","2"
"ivory coast","x","none","none","none","none","none","none","none","none","none","1"
"jordan","none","none","none","none","none","x","none","none","x","none","2"
"kazakhstan","x","none","none","none","none","none","none","none","none","none","1"
"south korea","none","x","none","none","none","none","none","none","none","none","1"
"lebanon","none","x","none","none","none","none","none","none","none","none","1"
"malaysia","none","none","none","none","none","none","none","none","x","none","1"
"mali","none","none","none","none","none","none","none","x","none","none","1"
"mauritania","none","x","none","none","none","none","none","none","none","none","1"
"mexico","none","none","x","none","none","x","x","none","none","x","4"
"montenegro","none","none","none","none","x","none","none","none","none","none","1"
"morocco","none","none","none","x","none","none","none","none","none","none","1"
"netherlands","x","x","x","none","none","none","none","none","none","none","3"
"niger","none","x","none","none","none","none","none","none","none","none","1"
"poland","none","none","none","none","none","none","x","none","none","none","1"
"puerto rico","none","none","none","none","none","none","none","none","none","x","1"
"romania","none","none","none","none","x","none","none","none","none","none","1"
"russia","none","none","x","none","none","none","none","x","x","none","3"
"saudi arabia","x","none","none","none","none","none","none","none","none","none","1"
"senegal","none","none","none","none","none","none","none","none","none","x","1"
"serbia","none","none","x","none","x","none","none","x","none","none","3"
"slovenia","none","none","none","none","x","none","none","none","none","none","1"
"spain","none","x","none","none","none","none","none","none","none","none","1"
"suriname","none","none","x","none","none","none","none","none","none","none","1"
"swaziland","none","none","none","none","none","none","none","none","none","x","1"
"sweden","none","none","none","none","none","none","x","none","none","none","1"
"chinese taipei","x","x","x","none","none","x","x","none","none","none","5"
"thailand","x","none","none","none","none","x","none","none","none","none","2"
"turkey","none","none","none","none","x","none","x","x","none","none","3"
"ukraine","none","none","none","x","x","none","none","none","none","x","3"
"united states","none","none","none","none","none","none","none","none","none","x","1"
"uzbekistan","none","none","none","none","none","none","none","none","none","x","1"
"vietnam","none","none","none","none","none","x","none","none","none","none","1"
"yemen","x","none","none","none","none","none","none","none","none","none","1"
"58 nocs","11","13","9","8","9","9","9","11","10","11","100"
