"","resell","resell","resell","resell","discard age","discard age"
"","ratio","ratio","age","age","discard age","discard age"
"","mean","standard error","mean","standard error","mean","standard error"
"all buildings","0.380","0.308","16.4","11.7","21.5","12.1"
"plants for manufacturing","0.308","0.291","17.5","12.0","24.3","11.1"
"warehouses, refrigerated storage, freight terminals","0.397","0.292","17.9","9.8","25.9","14.1"
"maintenance garages, workshops, equipment storage facilities","0.287","0.279","16.1","9.4","23.7","11.5"
"office buildings","0.411","0.304","17.2","13.4","21.3","13.2"
"shopping centres, plazas, malls, stores","0.500","0.308","15.0","10.9","9.7","6.0"
"other industrial and commercial","0.342","0.284","18.2","10.9","22.3","9.2"
"telephone and cablevision lines, underground and marine cables","0.449","0.390","9.2","7.3","17.7","8.1"
"communication towers, antennae, earth stations","0.339","0.279","13.5","9.8","22.6","9.4"
"all machinery and equipment","0.271","0.259","8.5","5.2","10.2","5.3"
"office furniture, furnishing","0.301","0.252","8.5","4.1","10.7","4.3"
"computers, associated hardware and word processors","0.312","0.278","4.8","2.0","5.8","2.1"
"non-office furniture, furnishings and fixtures","0.264","0.267","8.3","4.2","8.8","3.9"
"scientific, professional and medical devices","0.274","0.281","9.1","4.9","11.5","5.2"
"heating, electrical, plumbing, air conditioning and refrigeration equipment","0.251","0.267","9.9","5.4","14.5","6.7"
"pollution abatement and control equipment","0.232","0.293","14.4","7.5","13.0","6.2"
"motors, generators, transformers, turbines, compressors and pumps of all types","0.264","0.272","11.6","6.5","15.5","7.1"
"heavy construction equipment","0.267","0.242","9.9","5.0","11.0","5.5"
"tractors and other field equipment","0.253","0.216","9.1","4.3","10.8","4.8"
"capitalized tooling and other tools","0.248","0.260","9.6","5.3","9.2","4.0"
"drilling and blasting equipment","0.309","0.249","8.2","4.8","11.7","5.1"
"automobiles and major replacement parts","0.343","0.240","4.5","2.1","5.6","2.4"
"buses (all types) and major replacement parts","0.159","0.201","12.9","5.1","11.1","4.9"
"trucks, vans, truck tractors, truck trailers and major replacement parts","0.256","0.247","7.4","3.5","8.5","3.5"
"other transportation equipment","0.233","0.252","10.0","5.7","10.2","5.0"
"computer-assisted processing machinery and equipment","0.257","0.292","9.9","6.0","12.1","5.7"
"non-computer-assisted processing machinery and equipment","0.219","0.249","11.7","6.1","13.2","5.5"
"communication and related equipment","0.285","0.292","7.5","4.5","9.5","4.3"
"safety and security equipment and other machinery and equipment","0.324","0.288","9.5","5.5","11.7","5.7"
