"occupations","women","men","difference"
"occupations","percent","percent","percent"
"mine service workers and operators in oil and gas drilling","0.01","0.08","0.08"
"central control and process operators in processing and manufacturing","0.01","0.14","0.13"
"train crew operating occupations","0.00","0.06","0.05"
"contractors and supervisors, industrial, electrical and construction trades and related workers","0.06","1.08","1.01"
"other installers, repairers and servicers","0.03","0.49","0.46"
"other transport equipment operators and related maintenance workers","0.02","0.29","0.28"
"underground miners, oil and gas drillers and related occupations","0.02","0.35","0.33"
"logging machinery operators","0.00","0.08","0.08"
"contractors and supervisors, mining, oil and gas","0.01","0.19","0.18"
"supervisors, logging and forestry","0.00","0.03","0.03"
"machining, metal forming, shaping and erecting trades","0.05","1.31","1.26"
"masonry and plastering trades","0.02","0.57","0.55"
"automotive service technicians","0.04","1.06","1.03"
"heavy equipment operators","0.03","0.90","0.87"
"electrical trades and electrical power line and telecommunications workers","0.04","1.31","1.27"
"machinery and transportation equipment mechanics","0.04","1.49","1.46"
"plumbers, pipefitters and gas fitters","0.01","0.62","0.60"
"carpenters and cabinetmakers","0.02","1.11","1.09"
"other mechanics and related repairers","0.00","0.21","0.21"
"crane operators, drillers and blasters","0.00","0.14","0.14"
"total","0.40","11.52",".."
