"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"ais","2007","victorian premier league","20","1","none","none","none","none","20","1"
"brisbane roar","2008-09","a-league","4","0","none","none","none","none","4","0"
"brisbane roar","2009-10","a-league","11","1","none","none","none","none","11","1"
"brisbane roar","roar total","roar total","15","1","0","0","0","0","15","1"
"north queensland fury","2010-11","a-league","14","1","none","none","none","none","14","1"
"melbourne victory","2010-11","a-league","0","0","none","none","4","0","4","0"
"melbourne victory","2011-12","a-league","17","2","none","none","none","none","17","2"
"melbourne victory","2012-13","a-league","4","0","none","none","none","none","4","0"
"melbourne victory","victory total","victory total","21","2","0","0","4","0","25","2"
"wellington phoenix","2012-13","a-league","6","0","none","none","none","none","6","0"
"perth glory","2013-14","a-league","4","0","none","none","none","none","4","0"
"central coast mariners","2013-14","a-league","1","0","none","none","2","0","3","0"
"central coast mariners","2014-15","a-league","18","1","4","1","1","0","23","2"
"central coast mariners","mariners total","mariners total","19","1","4","1","3","0","18","2"
"supersport united","2015-16","premier soccer league","7","0","1","0","none","none","8","0"
"sisaket","2017","thai league t1","14","1","none","none","none","none","14","1"
"home united","2018","singapore premier league","5","0","5","1","4","1","14","2"
"total","total","total","126","7","11","2","12","2","149","11"
