"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"ajax","1992-93","eredivisie","12","1","3","0","3","0","18","1"
"ajax","1993-94","eredivisie","19","4","3","0","2","0","24","4"
"ajax","1994-95","eredivisie","34","6","3","0","11","0","48","6"
"ajax","total","total","65","11","9","0","16","0","90","11"
"sampdoria","1995-96","serie a","32","3","2","1","-","-","34","4"
"sampdoria","total","total","32","3","2","1","-","-","34","4"
"real madrid","1996-97","la liga","38","6","4","0","-","-","42","6"
"real madrid","1997-98","la liga","36","6","2","1","11","0","49","7"
"real madrid","1998-99","la liga","37","3","5","1","10","3","52","7"
"real madrid","1999-2000","la liga","10","0","0","0","6","0","16","0"
"real madrid","total","total","121","15","11","2","27","3","159","20"
"inter milan","1999-2000","serie a","20","3","5","2","0","0","25","5"
"inter milan","2000-01","serie a","24","2","5","0","7","3","36","5"
"inter milan","2001-02","serie a","20","3","2","1","10","0","32","4"
"inter milan","total","total","64","8","12","3","17","3","93","14"
"milan","2002-03","serie a","29","4","3","2","16","1","48","7"
"milan","2003-04","serie a","29","3","6","0","10","0","45","3"
"milan","2004-05","serie a","32","5","4","1","13","1","49","7"
"milan","2005-06","serie a","36","4","2","1","11","1","49","6"
"milan","2006-07","serie a","32","7","5","0","14","3","51","10"
"milan","2007-08","serie a","32","7","0","0","10","3","42","10"
"milan","2008-09","serie a","33","6","1","0","7","0","41","6"
"milan","2009-10","serie a","29","5","0","0","8","1","37","6"
"milan","2010-11","serie a","30","4","2","0","8","0","40","4"
"milan","2011-12","serie a","18","2","3","1","8","0","29","3"
"milan","total","total","300","48","26","5","105","10","431","63"
"botafogo","2012","serie a","24","8","0","0","0","0","24","8"
"botafogo","2013","serie a","34","8","0","0","1","1","35","9"
"botafogo","total","total","58","16","0","0","1","1","59","17"
"career total","career total","career total","640","100","69","11","166","17","875","128"
