"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"chester city","1987-88","third division","1","0","0","0","0","0","1","0"
"chester city","1988-89","third division","25","2","0","0","5","0","30","2"
"chester city","1989-90","third division","18","4","2","0","6","1","26","5"
"chester city","total","total","44","6","2","0","11","1","57","7"
"tranmere rovers","1993-94","first division","0","0","0","0","0","0","0","0"
"port vale","1993-94","second division","2","0","1","0","0","0","3","0"
"portsmouth","1994-95","first division","6","1","0","0","0","0","6","1"
"torquay united","1995-96","third division","4","2","0","0","0","0","4","2"
"wimbledon","1989-90","first division","2","0","0","0","0","0","2","0"
"wimbledon","1990-91","first division","8","1","0","0","2","0","10","1"
"wimbledon","1991-92","first division","12","1","2","0","0","0","14","1"
"wimbledon","1992-93","premier league","1","1","0","0","1","0","2","1"
"wimbledon","1993-94","premier league","0","0","0","0","0","0","0","0"
"wimbledon","1994-95","premier league","0","0","0","0","0","0","0","0"
"wimbledon","1995-96","premier league","0","0","0","0","4","0","4","0"
"wimbledon","1996-97","premier league","0","0","0","0","0","0","0","0"
"wimbledon","total","total","23","3","2","0","7","0","32","3"
"fulham","1997-98","second division","8","1","0","0","4","3","12","4"
"swansea city","1997-98","third division","8","0","1","0","0","0","9","0"
"swansea city","1998-99","third division","6","0","1","0","1","0","8","0"
"swansea city","total","total","14","0","2","0","1","0","17","0"
"brighton & hove albion","1999-2000","third division","12","2","1","0","1","0","14","2"
"career total","career total","career total","113","15","8","0","24","4","145","19"
