"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"hayes & yeading united","2012-13","conference south","35","0","1","0","-","-","1","1","37","1"
"woking","2013-14","conference premier","34","3","1","0","-","-","1","0","36","3"
"woking","2014-15","conference premier","41","5","2","0","-","-","3","2","46","7"
"woking","2015-16","national league","41","17","1","0","-","-","4","0","46","17"
"woking","total","total","116","25","4","0","-","-","8","2","128","27"
"swindon town","2016-17","league one","42","3","2","0","0","0","4","0","48","3"
"swindon town","2017-18","league two","13","1","2","0","0","0","2","1","17","2"
"swindon town","total","total","55","4","4","0","0","0","6","1","65","5"
"stevenage","2017-18","league two","11","0","0","0","0","0","0","0","11","0"
"stevenage","2018-19","league two","0","0","0","0","0","0","0","0","0","0"
"stevenage","total","total","11","0","0","0","0","0","0","0","11","0"
"bromley","2018-19","national league","14","1","2","0","-","-","0","0","16","1"
"aldershot town","2018-19","national league","17","1","0","0","-","-","0","0","17","1"
"career total","career total","career total","248","31","10","0","0","0","15","4","274","35"
