"year","team","games","games","receiving","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","tgt","rec","yds","avg","td","lng","att","yds","avg","lng","td","fum","lost"
"2007","det","15","10","93","48","756","15.8","4","49","4","52","13.0","32t","1","1","0"
"2008","det","16","16","150","78","1,331","17.1","12","96t","3","-1","-0.3","7","0","3","2"
"2009","det","14","14","137","67","984","14.7","5","75t","7","73","10.4","19","0","3","2"
"2010","det","15","15","137","77","1,120","14.5","12","87t","4","32","8.0","15","0","1","0"
"2011","det","16","16","158","96","1,681","17.5","16","73t","1","11","11.0","11","0","1","1"
"2012","det","16","16","204","122","1,964","16.1","5","53","0","0","0.0","0","0","3","3"
"2013","det","14","14","156","84","1,492","17.8","12","87","0","0","0.0","0","0","1","1"
"2014","det","13","13","128","71","1,077","15.2","8","67t","0","0","0.0","0","0","0","0"
"2015","det","16","16","149","88","1,214","13.8","9","57","0","0","0.0","0","0","1","1"
"career","career","135","130","1,312","731","11,619","15.9","83","96t","19","167","8.8","32t","1","14","10"
