"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"queens park rangers","2000-01","first division","0","0","0","0","0","0","0","0","0","0"
"stevenage borough","2000-01","conference premier","1","1","0","0","0","0","0","0","1","1"
"stevenage borough","2001-02","conference premier","2","0","0","0","0","0","0","0","2","0"
"stevenage borough","total","total","3","1","0","0","0","0","0","0","3","1"
"margate","2001-02","conference premier","16","3","0","0","0","0","1","0","17","3"
"margate","2002-03","conference premier","1","0","0","0","0","0","0","0","1","0"
"margate","total","total","17","3","0","0","0","0","1","0","18","3"
"gravesend & northfleet","2002-03","conference premier","7","2","0","0","0","0","0","0","7","2"
"heybridge swifts","2002-03","isthmian league","31","7","0","0","0","0","0","0","31","7"
"erith & belvedere","2003-04","southern div. 1 east","21","18","0","0","0","0","0","0","21","18"
"huddersfield town","2004-05","league one","7","0","0","0","0","0","0","0","7","0"
"darlington","2004-05","league two","7","1","0","0","0","0","0","0","7","1"
"darlington","2005-06","league two","36","8","1","0","1","0","1","0","39","8"
"darlington","total","total","43","9","1","0","1","0","1","0","46","9"
"port vale","2006-07","league one","43","14","1","1","4","1","2","0","50","16"
"port vale","2007-08","league one","3","0","0","0","0","0","0","0","3","0"
"port vale","total","total","46","14","1","1","4","1","2","0","53","16"
"sheffield wednesday","2007-08","championship","19","7","1","0","1","0","0","0","21","7"
"sheffield wednesday","2008-09","championship","11","2","0","0","0","0","0","0","11","2"
"sheffield wednesday","2009-10","championship","11","0","0","0","1","0","0","0","12","0"
"sheffield wednesday","total","total","41","9","1","0","2","0","0","0","44","9"
"charlton athletic","2009-10","league one","26","5","0","0","0","0","0","0","26","5"
"charlton athletic","2010-11","league one","15","1","4","0","1","0","1","0","21","1"
"charlton athletic","total","total","41","6","4","0","1","0","1","0","47","6"
"hibernian","2010-11","spl","15","6","0","0","0","0","0","0","15","6"
"hibernian","2011-12","spl","13","0","1","0","2","1","0","0","16","1"
"hibernian","total","total","28","6","1","0","2","1","0","0","31","7"
"tianjin teda","2012","chinese super league","10","1","0","0","0","0","0","0","10","1"
"preston north end","2012-13","league one","14","4","0","0","1","1","2","2","17","7"
"scunthorpe united","2012-13","league one","16","6","0","0","0","0","0","0","16","6"
"tranmere rovers","2013-14","league one","9","0","0","0","1","0","1","0","11","0"
"macclesfield town","2013-14","conference premier","5","0","0","0","0","0","0","0","5","0"
"career total","career total","career total","339","86","8","1","12","3","8","2","367","92"
