"model","total registered at the end of(1)","total registered at the end of(1)","total registered at the end of(1)","registrations by year between 2010 and december 2013","registrations by year between 2010 and december 2013","registrations by year between 2010 and december 2013","registrations by year between 2010 and december 2013"
"model","2q 2016","2015","2014","2013","2012","2011","2010"
"mitsubishi outlander p-hev","21,708","16,100","5,273","none","none","none","none"
"nissan leaf","12,837","11,219","6,838","1,812","699","635","none"
"bmw i3","4,457","3,574","1,534","na","none","none","none"
"renault zoe","4,339","3,327","1,356","378","none","none","none"
"mercedes-benz c350 e","3,337","628","0","none","none","none","none"
"tesla model s","3,312","2,087","698","none","none","none","none"
"volkswagen golf gte","2,657","1,359","0","none","none","none","none"
"toyota prius phv","1,655","1,580","1,324","509","470","none","none"
"audi a3 e-tron","1,634","1,218","66","none","none","none","none"
"nissan e-nv200","1,487","1,047","399","none","none","none","none"
"bmw 330e iperformance","1,479","none","none","none","none","none","none"
"bmw i8","1,307","1,022","279","none","none","none","none"
"vauxhall ampera","1,267","1,272","1,169","175","455","4","none"
"volvo xc90 t8","813","38","none","none","none","none","none"
"renault kangoo z.e","785","740","663","none","none","none","none"
"porsche panamera s e-hybrid","475","395","241","none","none","none","none"
"volvo v60 plug-in hybrid","410","337","232","none","none","none","none"
"peugeot ion","405","374","368","26(2)","251","124","none"
"mercedes-benz b-class electric drive","303","162","0","none","none","none","none"
"mitsubishi i miev","252","251","266","1(2)","107","125","27"
"smart electric drive","215","212","205","3(2)","13","none","63"
"citroen c-zero","213","167","202","45(2)","110","46","none"
"kia soul ev","193","145","20","none","none","none","none"
"bmw 225xe","163","none","none","none","none","none","none"
"volkswagen e-up!","154","142","118","none","none","none","none"
"mercedes-benz s500 phev","125","157","14","none","none","none","none"
"volkswagen e-golf","123","114","47","none","none","none","none"
"chevrolet volt","119","122","124","23(2)","67","none","none"
"renault fluence z.e","79","70","73","7(2)","67","none","none"
"ford focus electric","22","19","19","none","none","none","none"
"mercedes-benz vito e-cell","22","23","23","none","none","none","none"
"mia electric","15","15","14","none","none","none","none"
"volkswagen passat gte","1","none","none","none","none","none","none"
"byd e6","0","0","0","50(2)","none","none","none"
"total registrations","66,374","47,920","21,504","3,586","2,254","1,082","138"
"notes: na: not available. registrations figures seldom correspond to same sales figure","notes: na: not available. registrations figures seldom correspond to same sales figure","notes: na: not available. registrations figures seldom correspond to same sales figure","notes: na: not available. registrations figures seldom correspond to same sales figure","notes: na: not available. registrations figures seldom correspond to same sales figure","notes: na: not available. registrations figures seldom correspond to same sales figure","notes: na: not available. registrations figures seldom correspond to same sales figure","notes: na: not available. registrations figures seldom correspond to same sales figure"
