"type of offence","male","male","female","female"
"type of offence","number","percent","number","percent"
"violent offences","56,805","82","12,460","18"
"homicide","182","86","29","14"
"attempted murder","114","89","14","11"
"robbery","2,403","89","310","11"
"sexual assault","2,239","98","46","2"
"other sexual offences","2,715","97","87","3"
"major assault","12,002","77","3,564","23"
"common assault","21,036","77","6,166","23"
"uttering threats","11,911","88","1,635","12"
"criminal harassment","2,178","88","305","12"
"other violent offences","2,025","87","304","13"
"property offences","51,118","72","19,971","28"
"theft","20,788","65","11,076","35"
"break and enter","6,755","87","988","13"
"fraud","6,391","67","3,181","33"
"mischief","9,206","82","1,966","18"
"possess stolen property","6,852","73","2,599","27"
"other property offences","1,126","87","161","13"
"administration of justice offences","54,175","82","12,083","18"
"fail to appear","2,756","76","876","24"
"breach of probation","21,770","84","4,274","16"
"unlawfully at large","1,762","90","200","10"
"fail to comply with order","22,823","81","5,224","19"
"other administration of justice offences","5,064","77","1,509","23"
"other criminal code offences","10,626","87","1,639","13"
"weapons","7,055","90","793","10"
"prostitution","261","84","50","16"
"disturbing the peace","847","83","174","17"
"residual criminal code offences","2,463","80","622","20"
"criminal code","172,724","79","46,153","21"
"criminal code traffic offences","32,173","82","6,911","18"
"impaired driving","24,832","81","5,822","19"
"other criminal code traffic offences","7,341","87","1,089","13"
"total criminal code offences","204,897","79","53,064","21"
"other federal statute offences","33,869","85","6,116","15"
"drug possession","10,842","85","1,947","15"
"other drug offences","6,456","79","1,671","21"
"youth criminal justice act","568","81","132","19"
"residual federal statute offences","16,003","87","2,366","13"
"total offences","238,766","80","59,180","20"
