"selected characteristics","total custody","total custody","total community supervision","total community supervision","total correctional services","total correctional services"
"selected characteristics","number","percent of total","number","percent of total","number","percent of total"
"age","","","","","",""
"12 years","69","1","87","1","156","1"
"13 years","293","4","393","4","686","4"
"14 years","723","10","794","9","1,517","9"
"15 years","1,309","18","1,466","16","2,775","17"
"16 years","2,020","27","2,066","22","4,086","25"
"17 years","2,397","33","2,480","27","4,877","29"
"18 years and older","549","7","2,014","22","2,563","15"
"unknown age","1","0","3","0","4","0"
"sex","","","","","",""
"male","5,625","76","7,113","76","12,738","76"
"female","1,732","24","2,169","23","3,901","23"
"unknown sex","4","0","21","0","25","0"
"aboriginal identity","","","","","",""
"aboriginal","3,541","48","3,653","39","7,194","43"
"non-aboriginal","3,621","49","5,009","54","8,630","52"
"unknown","199","3","641","7","840","5"
"total-all jurisdictions","7,361","100","9,303","100","16,664","100"
