"club","season","league","league","league","federation cup","federation cup","durand cup/super cup","durand cup/super cup","afc","afc","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"pune","2011-12","i-league","6","0","1","0","0","0","-","-","7","0"
"pune","2012-13","i-league","5","0","0","0","2","0","-","-","7","0"
"pune","2013-14","i-league","22","0","3","0","-","-","6","0","31","0"
"pune","2014-15","i-league","18","0","4","0","3","0","-","-","25","0"
"pune","pune fc total","pune fc total","51","0","8","0","5","0","6","0","70","0"
"atk","2015","indian super league","13","0","-","-","-","-","-","-","13","0"
"bengaluru fc","2015-16","i-league","11","0","2","0","0","0","8","0","21","0"
"bengaluru fc","2016-17","i-league","12","0","3","0","0","0","2","0","17","0"
"mumbai city","2016","indian super league","6","0","-","-","-","-","-","-","6","0"
"mumbai city","2017-18","indian super league","16","0","-","-","2","0","-","-","18","0"
"career total","career total","career total","109","0","13","0","7","0","16","0","145","0"
