"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1979-80","first division","6","0","0","0","0","0","0","0","6","0"
"stoke city","1980-81","first division","40","2","2","1","2","0","0","0","44","3"
"stoke city","1981-82","first division","42","1","1","0","2","0","0","0","45","1"
"stoke city","1982-83","first division","41","2","3","0","2","0","0","0","46","2"
"stoke city","total","total","129","5","6","1","6","0","0","0","141","6"
"sunderland","1983-84","first division","38","4","2","0","4","0","0","0","44","4"
"sunderland","total","total","38","4","2","0","4","0","0","0","44","4"
"everton","1984-85","first division","37","2","7","0","4","1","9","1","57","4"
"everton","1985-86","first division","38","3","6","0","4","1","5","0","53","4"
"everton","1986-87","first division","0","0","0","0","0","0","0","0","0","0"
"everton","1987-88","first division","0","0","2","0","1","0","1","0","4","0"
"everton","1988-89","first division","20","2","6","0","1","0","4","0","31","2"
"everton","total","total","95","7","21","0","10","2","19","1","145","10"
"sunderland","1989-90","second division","37","2","1","0","4","0","4","0","46","2"
"sunderland","1990-91","first division","37","0","1","0","3","0","2","0","43","0"
"sunderland","1991-92","second division","39","0","8","0","2","0","0","0","49","0"
"sunderland","total","total","113","2","10","0","9","0","6","0","138","2"
"newcastle united","1992-93","first division","25","2","4","0","0","0","2","0","31","2"
"newcastle united","1993-94","premier league","32","1","1","0","3","1","0","0","37","1"
"newcastle united","1994-95","premier league","16","0","3","0","1","0","0","0","20","0"
"newcastle united","total","total","73","3","8","0","4","1","2","0","88","3"
"sunderland","1995-96","division one","38","0","2","0","4","0","0","0","44","0"
"sunderland","1996-97","premier league","38","0","1","0","2","0","0","0","41","0"
"sunderland","1997-98","division one","1","0","0","0","2","0","0","0","3","0"
"sunderland","total","total","77","0","3","0","8","0","0","0","88","0"
"fulham","1997-98","second division","36","0","3","0","0","0","2","0","41","0"
"fulham","1998-99","second division","26","1","5","0","4","0","0","0","35","1"
"fulham","total","total","62","1","8","0","4","0","2","0","76","1"
"career total","career total","career total","587","22","58","1","45","3","29","1","719","27"
