"","name","term","regular season","regular season","regular season","regular season","regular season","playoffs","playoffs","playoffs","playoffs","achievements","reference"
"","name","term","gc","w","l","t/ot","pts","gc","w","l","win%","achievements","reference"
"1","jim anderson","1974-1975","54","4","45","5","13","-","-","-","-","none","none"
"2","red sullivan","1975","18","2","16","0","4","-","-","-","-","none","none"
"3","milt schmidt","1975-1975","44","5","34","5","15","-","-","-","-","none","none"
"4","tom mcvie","1975-1978","204","49","122","33","131","-","-","-","-","none","none"
"5","danny belisle","1978-1979","96","28","51","17","73","-","-","-","-","none","none"
"6","gary green","1979-1981","157","50","78","29","129","-","-","-","-","none","none"
"7","roger crozier","1981","1","0","1","0","0","-","-","-","-","none","none"
"8","bryan murray","1981-1990","672","343","246","83","769","53","24","29",".453","1983-84 jack adams award","none"
"9","terry murray","1990-1994","325","163","134","28","354","39","18","21",".462","none","none"
"10","jim schoenfeld","1994-1997","249","113","102","34","260","24","10","14",".417","none","none"
"11","ron wilson","1997-2002","410","192","159","59","443","32","15","17",".469","1997-98 prince of wales trophy","none"
"12","bruce cassidy","2002-2003","110","47","47","16","110","6","2","4",".333","none","none"
"13","glen hanlon","2003-2007","239","78","122","39","195","-","-","-","-","none","none"
"14","bruce boudreau","2007-2011","329","201","88","40","442","37","17","20",".459","2007-08 jack adams award 2009-10 presidents' trophy","none"
"15","dale hunter","2011-2012","60","30","23","7","67","14","7","7",".500","none","none"
"16","adam oates","2012-2014","130","65","48","17","147","7","3","4",".429","none","none"
"17","barry trotz","2014-2018","328","205","89","34","444","63","36","27",".571","2015-16 presidents' trophy 2015-16 jack adams award 2016-17 presidents' trophy 2017-18 prince of wales trophy 2017-18 stanley cup","none"
"18","todd reirden","2018-present","82","48","26","8","104","-","-","-","-","none","none"
