"characteristics","none","none","none","less than 1 hour","less than 1 hour","less than 1 hour","more than 1 hour","more than 1 hour","more than 1 hour","x mathtype@mtef@5@5@+= feaagkart1ev2aqatcvaufebsjuyzl2yd9gzlbvynv2caerbulwbln hiov2dgi1btfmbaexatlxbi9gbaerbd9wdylwzybitldharqqtubsr 4rnchbgeagqivv0je9sqqrpepc0xbbl8f4rqqrffpeea0xe9lq=jc9 vqaqpepm0xbba9pwe9q8fs0=yqaqpepae9pg0firpepekkfr0xfr=x fr=xb9adbaqaaegacigaaiaabeqaamaabaabaaqcaaeaagqadiaa=h haaaa@381b@ 2","p"
"characteristics","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","x mathtype@mtef@5@5@+= feaagkart1ev2aqatcvaufebsjuyzl2yd9gzlbvynv2caerbulwbln hiov2dgi1btfmbaexatlxbi9gbaerbd9wdylwzybitldharqqtubsr 4rnchbgeagqivv0je9sqqrpepc0xbbl8f4rqqrffpeea0xe9lq=jc9 vqaqpepm0xbba9pwe9q8fs0=yqaqpepae9pg0firpepekkfr0xfr=x fr=xb9adbaqaaegacigaaiaabeqaamaabaabaaqcaaeaagqadiaa=h haaaa@381b@ 2","p"
"characteristics","%","from","to","%","from","to","%","from","to","x mathtype@mtef@5@5@+= feaagkart1ev2aqatcvaufebsjuyzl2yd9gzlbvynv2caerbulwbln hiov2dgi1btfmbaexatlxbi9gbaerbd9wdylwzybitldharqqtubsr 4rnchbgeagqivv0je9sqqrpepc0xbbl8f4rqqrffpeea0xe9lq=jc9 vqaqpepm0xbba9pwe9q8fs0=yqaqpepae9pg0firpepekkfr0xfr=x fr=xb9adbaqaaegacigaaiaabeqaamaabaabaaqcaaeaagqadiaa=h haaaa@381b@ 2","p"
"sex","","","","","","","","","","10.1","< 0.001"
"men","91.6","89.1","93.6","3.2","2.3","4.4","5.3","3.6","7.5","",""
"women","96.3","94.7","97.4","1.6","0.9","2.9","2.1","1.4","3.2","",""
"education","","","","","","","","","","1.8","0.168"
"less than college","94.1","92.6","95.4","2.4","1.7","3.5","3.5","2.5","4.8","",""
"college","95.9","91.5","98.1","1.6","0.8","3.1","2.5","1.0","6.4","",""
"university","92.0","89.3","94.1","3.0","1.9","4.7","5.0","3.4","7.3","",""
"household income","","","","","","","","","","0.4","0.780"
"less than $40,000","94.2","91.5","96.1","2.0","1.4","2.7","3.8","2.2","6.6","",""
"$40,000 to $79,999","94.3","92.5","95.6","2.4","1.6","3.5","3.4","2.3","4.9","",""
"$80,000 or more","93.6","91.6","95.1","2.5","1.7","3.7","3.9","2.7","5.6","",""
"age group","","","","","","","","","","11.6","< 0.001"
"20 to 39","91.5","88.6","93.7","3.3","2.2","4.7","5.3","3.4","8.0","",""
"40 to 59","94.6","93.1","95.8","2.1","1.5","3.0","3.3","2.4","3.5","",""
"60 to 79","97.1","96.1","97.8","1.4","0.9","2.0","1.6","1.1","2.3","",""
"daily physical activity","","","","","","","","","","0.1","0.938"
"usually sit","94.0","91.7","95.7","2.3","1.4","3.6","3.7","2.5","5.6","",""
"stand, walk, lift weights","93.9","92.1","95.3","2.5","1.8","3.3","3.7","2.5","5.4","",""
