"no","pos","nat","player","total","total","scottish second division","scottish second division","scottish cup","scottish cup","league cup","league cup","challenge cup","challenge cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","grant adam","1","0","0+0","0","0+0","0","1+0","0","0+0","0"
"none","gk","scotland","jamie langfield","2","0","2+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","scotland","anton mordente","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","england","adam mchugh","7","0","6+0","0","0+0","0","1+0","0","0+0","0"
"none","gk","scotland","marc mccallum","8","0","8+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","scotland","paul mckane","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","scotland","greg paterson","26","0","20+1","0","3+0","0","0+0","0","2+0","0"
"none","df","scotland","jamie bishop","11","0","8+0","0","2+0","0","0+0","0","1+0","0"
"none","df","scotland","michael bolochoweckyj","26","0","16+8","0","0+1","0","1+0","0","0+0","0"
"none","df","scotland","iain campbell","27","0","21+1","0","3+0","0","1+0","0","1+0","0"
"none","df","scotland","chris hegarty","29","0","20+4","0","2+0","0","1+0","0","1+1","0"
"none","df","scotland","mark mcculloch","35","1","30+0","1","1+0","0","2+0","0","2+0","0"
"none","df","scotland","david mowat","30","1","20+3","1","3+0","0","2+0","0","1+1","0"
"none","df","scotland","greg ross","37","3","27+3","2","3+0","1","2+0","0","2+0","0"
"none","df","scotland","craig wilson","21","0","10+6","0","1+1","0","2+0","0","1+0","0"
"none","df","scotland","stephen tulloch","18","1","12+2","1","1+0","0","1+1","0","1+0","0"
"none","df","republic of ireland","joe shaughnessy","28","3","26+0","3","2+0","0","0+0","0","0+0","0"
"none","mf","scotland","bradley skelly","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","duncan reid","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","kevin byers","35","7","13+16","7","0+2","0","1+1","0","1+1","0"
"none","mf","scotland","martyn fotheringham","33","8","22+4","8","3+0","0","2+0","0","2+0","0"
"none","mf","scotland","kevin motion","32","3","13+12","3","0+3","0","1+1","0","1+1","0"
"none","mf","scotland","nicky low","31","6","28+1","6","2+0","0","0+0","0","0+0","0"
"none","mf","scotland","jordan brown","4","0","3+1","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","barry sellars","4","0","2+2","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","ross campbell","29","0","12+11","0","3+0","0","0+2","0","1+0","0"
"none","fw","scotland","stevie crawford","15","3","11+0","2","0+0","0","2+0","1","2+0","0"
"none","fw","scotland","graham gibson","22","2","4+13","0","0+2","1","0+1","0","1+1","1"
"none","fw","scotland","chris templeman","40","19","32+1","16","3+0","2","2+0","1","2+0","0"
"none","fw","scotland","dale hilson","21","2","20+0","2","1+0","0","0+0","0","0+0","0"
"none","fw","scotland","bradley coyne","16","5","9+7","5","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","lee bryce","3","0","0+3","0","0+0","0","0+0","0","0+0","0"
