"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"roma","1999-2000","serie a","0","0","0","0","0","0","-","-","0","0"
"roma","2000-01","serie a","0","0","0","0","0","0","-","-","0","0"
"roma","total","total","0","0","0","0","0","0","-","-","0","0"
"livorno","2001-02","serie c1","1","0","0","0","-","-","1","0","none","none"
"livorno","2002-03","serie b","35","0","2","0","-","-","37","0","none","none"
"livorno","2004-05","serie a","31","0","2","0","-","-","33","0","none","none"
"livorno","2005-06","serie a","36","0","3","0","-","-","39","0","none","none"
"livorno","2006-07","serie a","30","0","0","0","8","1","-","-","38","1"
"livorno","2007-08","serie a","33","0","0","0","-","-","33","0","none","none"
"livorno","total","total","166","0","7","0","8","1","-","-","181","1"
"lecce","2003-04","serie a","13","0","1","0","-","-","14","0","none","none"
"lecce","total","total","13","0","1","0","-","-","14","0","none","none"
"parma","2003-04","serie a","0","0","1","0","1","0","-","-","2","0"
"parma","total","total","0","0","1","0","1","0","-","-","2","0"
"palermo","2008-09","serie a","34","0","1","0","-","-","35","0","none","none"
"palermo","total","total","34","0","1","0","-","-","35","0","none","none"
"genoa","2009-10","serie a","30","0","0","0","5","0","-","-","35","0"
"genoa","total","total","30","0","0","0","5","0","-","-","35","0"
"milan","2010-11","serie a","4","0","1","0","3","0","-","-","8","0"
"milan","2011-12","serie a","9","0","4","0","1","0","0","0","14","0"
"milan","2012-13","serie a","11","0","1","0","1","0","-","-","13","0"
"milan","2013-14","serie a","5","0","0","0","1","0","-","-","6","0"
"milan","total","total","29","0","6","0","6","0","0","0","41","0"
"career total","career total","career total","272","0","16","0","20","1","0","0","308","1"
