"","all private-sector smes","all private-sector smes","all private-sector smes","all private-sector smes","smes in kbis","smes in kbis","smes in kbis","smes in kbis"
"","all smes","canadian-born owned","immigrant owned","p-value","all smes","canadian-born owned","immigrant owned","p-value"
"","percent","percent","percent","p-value","percent","percent","percent","p-value"
"innovation","","","","","","","",""
"goods or services","22.5","21.5","25.9","0.000","32.8","32.0","34.7","0.399"
"production process or method","14.7","14.1","17.0","0.000","18.6","17.5","21.2","0.169"
"organizational","15.4","15.6","14.7","0.267","19.2","19.4","18.5","0.735"
"new way of selling","16.4","15.6","19.2","0.000","17.0","16.3","18.8","0.343"
"intellectual property","","","","","","","",""
"registered trademark","8.9","8.6","9.7","0.120","13.3","14.0","11.6","0.321"
"patent","1.7","1.6","2.0","0.240","3.9","3.8","4.3","0.608"
"registered industrial design","0.9","0.9","1.2","0.072","1.9","1.7","2.2","0.618"
"trade secret","4.8","4.8","4.8","0.950","11.7","12.7","9.4","0.072"
"nondisclosure agreement","14.3","13.9","15.5","0.068","43.5","41.6","48.2","0.058"
