"club","season","league","league","cup","cup","continental","continental","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"river plate","2000-01","5","1","-","-","3","2","8","3"
"river plate","2001-02","23","17","-","-","6","2","29","19"
"river plate","2002-03","33","20","-","-","11","7","44","27"
"river plate","2003-04","27","17","-","-","11","6","38","23"
"river plate","total","88","55","-","-","31","17","119","72"
"spartak moscow","2004","9","1","none","none","-","-","9","1"
"spartak moscow","2005","25","6","1","1","-","-","26","7"
"spartak moscow","2006","17","5","none","none","4","0","21","5"
"spartak moscow","total","51","12","1","1","4","0","56","13"
"bordeaux","2006-07","9","2","none","none","-","-","9","2"
"bordeaux","2007-08","23","15","5","2","7","5","35","22"
"bordeaux","2008-09","29","13","2","1","5","1","36","15"
"bordeaux","2009-10","20","3","3","4","3","0","26","7"
"bordeaux","2010-11","2","0","-","-","2","0","none","none"
"bordeaux","total","83","33","10","7","15","6","108","46"
"mallorca","2010","11","2","2","4","-","-","13","6"
"mallorca","total","11","2","2","4","-","-","13","6"
"internacional","2011","8","2","7","4","4","0","25","6"
"internacional","total","8","2","7","4","4","0","19","6"
"river plate","2011-12","37","19","1","0","-","-","38","19"
"river plate","total","37","19","1","0","-","-","38","19"
"villarreal","2012-13","18","4","1","0","-","-","19","4"
"villarreal","total","18","4","1","0","-","-","19","4"
"pachuca","2012-13","10","2","3","3","-","-","13","5"
"pachuca","2013-14","11","2","3","1","-","-","14","3"
"pachuca","total","21","4","6","4","-","-","27","8"
"river plate","2014","20","8","0","0","-","-","20","8"
"river plate","2014","3","2","0","0","3","0","6","2"
"river plate","2015","18","11","2","0","7","0","27","11"
"river plate","total","41","21","2","0","10","0","53","21"
"river plate","river plate totals","166","95","3","0","41","17","210","112"
"apoel","2015-16","18","19","3","2","5","2","26","23"
"apoel","total","18","19","3","2","5","2","26","23"
"none","career totals","376","171","33","22","69","25","477","219"
