"","federal skilled workers","provincial nominees","quebec skilled workers","canadian experience class"
"","2017 constant dollars","2017 constant dollars","2017 constant dollars","2017 constant dollars"
"first full year after immigration","","","",""
"all","42,100","47,300","31,200","65,800"
"no pre-landing canadian earnings","33,800","29,400","23,200",""
"low pre-landing canadian earnings","30,000","33,300","27,000","30,300"
"medium pre-landing canadian earnings","40,000","37,900","39,000","38,200"
"high pre-landing canadian earnings","101,200","88,800","86,100","96,500"
"fifth year after immigration","","","",""
"all","59,200","56,400","43,100","76,800"
"no pre-landing canadian earnings","53,900","40,900","39,400",""
"low pre-landing canadian earnings","58,600","47,000","46,100","51,400"
"medium pre-landing canadian earnings","54,900","48,300","51,100","51,300"
"high pre-landing canadian earnings","113,500","99,200","102,500","110,400"
