"year","wsl men's big wave tour","wsl men's big wave tour","wsl women's big wave tour","wsl women's big wave tour"
"year","name","points","name","points"
"2017","billy kemper","27,140","paige alms","10,000"
"2016","grant baker","25,018","paige alms","12,500"
"2015","greg long","21,266","none","none"
"2014","makuakai rothman","20,833","none","none"
"2013","grant baker","2,459","none","none"
"2012","greg long","2,155","none","none"
"2011","peter mel","1,472","none","none"
"2010","jamie sterling","2,509","none","none"
"2009","carlos burle","2,443","none","none"
