"type of decision","single-charge cases","single-charge cases","multiple-charge cases","multiple-charge cases","total cases","total cases"
"type of decision","number","percent","number","percent","number","percent"
"intimate partner violence (ipv) cases","","","","","",""
"guilty","30,202","40","77,366","74","107,568","60"
"acquitted","1,565","2","1,219","1","2,784","2"
"stayed or withdrawn","41,663","56","26,279","25","67,942","38"
"other decisions","1,256","2","276","0","1,532","1"
"total ipv decisions","74,686","100","105,140","100","179,826","100"
"non-intimate partner violence (non-ipv) cases","","","","","",""
"guilty","23,949","44","63,873","76","87,822","64"
"acquitted","1,419","3","1,135","1","2,554","2"
"stayed or withdrawn","27,638","51","18,878","22","46,516","34"
"other decisions","887","2","467","1","1,354","1"
"total non- ipv decisions","53,893","100","84,353","100","138,246","100"
"total decisions","128,579","..","189,493","..","318,072",".."
