"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"scarborough","1998-99","third division","3","0","0","0","0","0","0","0","3","0"
"nottingham forest","1998-99","premier league","0","0","0","0","0","0","0","0","0","0"
"nottingham forest","1999-2000","first division","0","0","0","0","0","0","0","0","0","0"
"nottingham forest","total","total","0","0","0","0","0","0","0","0","0","0"
"port vale","1999-2000","first division","1","0","0","0","0","0","0","0","1","0"
"port vale","2000-01","second division","40","0","2","0","2","0","6","0","50","0"
"port vale","2001-02","second division","43","0","2","0","2","0","3","0","50","0"
"port vale","2002-03","second division","37","0","1","0","1","0","3","0","42","0"
"port vale","2003-04","second division","0","0","0","0","0","0","0","0","0","0"
"port vale","2004-05","league one","20","0","0","0","0","0","0","0","20","0"
"port vale","2005-06","league one","46","0","5","0","1","0","0","0","52","0"
"port vale","2006-07","league one","25","0","2","0","4","0","1","0","32","0"
"port vale","2007-08","league one","0","0","0","0","0","0","0","0","0","0"
"port vale","total","total","212","0","12","0","10","0","13","0","247","0"
"career total","career total","career total","215","0","12","0","10","0","13","0","250","0"
