"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"blackburn rovers","2007-08","premier league","0","0","0","0","0","0","0","0"
"gretna","2007-08","scottish premier league","12","0","0","0","0","0","12","0"
"accrington stanley","2008-09","football league two","13","1","2","0","0","0","15","1"
"adelaide united","2008-09","a-league","2","0","0","0","0","0","2","0"
"north queensland fury","2009-10","a-league","23","2","0","0","0","0","23","2"
"central coast mariners","2010-11","a-league","30","2","0","0","0","0","30","2"
"central coast mariners","2011-12","a-league","18","2","0","0","0","0","18","2"
"central coast mariners","mariners total","mariners total","48","4","0","0","0","0","48","4"
"guangzhou r&f","2012","chinese super league","17","1","1","0","0","0","18","1"
"guangzhou r&f","2013","chinese super league","17","0","0","0","0","0","17","0"
"guangzhou r&f","guangzhou r&f total","guangzhou r&f total","34","1","1","0","0","0","35","1"
"perth glory","2013-14","a-league","9","2","0","0","0","0","9","2"
"perth glory","2014-15","a-league","24","3","4","0","0","0","28","3"
"perth glory","perth total","perth total","33","5","4","0","0","0","37","5"
"roda jc","2015-16","eredivisie","18","2","2","0","0","0","20","2"
"perth glory","2016-17","a-league","24","3","2","0","0","0","26","3"
"pakhtakor tashkent","2017","uzbek league","7","0","0","0","0","0","7","0"
"pakhtakor tashkent","2018","uzbek league","9","0","0","0","0","0","9","0"
"pakhtakor tashkent","pakhtakor total","pakhtakor total","16","0","0","0","0","0","16","0"
"career total","career total","career total","223","18","11","0","0","0","234","18"
