"","ppercentage distribution","ppercentage distribution","ppercentage distribution","average earnings","average earnings","average earnings","median earnings","median earnings","median earnings","total average"
"","0 - <=$20,000",">$20,000 - <=$50,000",">$50,000","0 - <=$20,000",">$20,000 - <=$50,000",">$50,000","0 - <=$20,000",">$20,000 - <=$50,000",">$50,000","total average"
"","percent","percent","percent","2017 dollars","2017 dollars","2017 dollars","2017 dollars","2017 dollars","2017 dollars","total average"
"2000","38.3","40.5","21.2","11,800","28,900","129,100","12,414","25,897","86,639","43,607"
"2001","37.4","40.9","21.7","11,800","28,900","131,600","12,730","25,992","88,581","44,764"
"2002","34.7","39.2","26.0","11,500","29,300","126,600","11,997","26,544","91,269","48,433"
"2003","32.3","43.9","23.9","11,600","29,000","137,200","12,465","26,266","97,343","49,203"
"2004","30.8","40.0","29.2","11,500","29,100","142,100","12,518","26,120","99,484","56,666"
"2005","34.2","41.4","24.4","12,200","28,600","144,300","13,690","25,826","99,083","51,202"
"2006","34.2","41.8","24.0","11,600","29,600","133,200","12,508","27,056","96,272","48,303"
"2007","31.9","42.8","25.3","11,500","30,400","126,800","12,545","28,223","91,131","48,760"
"2008","29.8","45.8","24.4","13,100","29,900","117,300","14,703","27,340","84,431","46,250"
"2009","24.8","48.9","26.3","13,200","31,500","110,500","15,085","29,843","80,572","47,706"
"2010","22.7","50.7","26.7","13,600","31,300","107,000","15,388","29,373","79,345","47,460"
"2011","17.1","53.7","29.1","13,500","32,300","105,600","15,245","31,123","79,990","50,430"
"2012","14.3","54.9","30.8","12,100","33,600","103,900","13,157","33,050","76,731","52,188"
"2013","13.9","56.4","29.7","12,300","33,000","99,000","13,642","32,135","74,786","49,703"
"2014","10.4","59.0","30.7","13,300","32,400","98,900","15,233","31,515","75,809","50,800"
"2015","10.1","59.8","30.1","12,600","32,500","96,700","13,978","31,541","74,440","49,791"
"2016","9.3","55.3","35.4","12,100","33,700","94,700","13,233","33,087","74,459","53,253"
"2017","9.4","58.3","32.3","12,500","33,700","91,100","13,747","33,072","71,645","50,230"
"2018","9.5","59.4","31.1","12,300","34,100","87,200","13,559","33,609","69,553","48,550"
