"year","team","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing"
"year","team","cmp","att","pct","yds","td","int","rtg","att","yds","td"
"2010","spokane","18","28","64.3","274","5","1","121.13","1","0","0"
"2011","spokane","80","108","74.1","967","22","3","129.13","13","39","3"
"2012","spokane","25","45","55.6","294","6","2","90.42","2","7","1"
"2013","spokane","403","591","68.2","4,661","112","11","123.60","56","110","15"
"2014","spokane","236","354","66.7","2,519","54","9","114.83","48","112","20"
"2015","san jose","353","528","66.9","4,057","93","6","124.66","30","136","6"
"2017","washington","99","167","59.3","1,132","20","5","97.19","11","50","1"
"career","career","1,214","1,821","66.7","13,904","312","37","120.57","161","454","46"
