"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"aylesbury united","2002-03","isthmian league premier division","1","0","0","0","-","-","1","1","2","1"
"yeading","2005-06","conference south","12","0","0","0","-","-","1","0","13","0"
"brentford","2006-07","league one","12","0","0","0","1","0","2","0","15","0"
"yeovil town","2008-09","league one","42","7","2","0","2","1","1","1","47","9"
"yeovil town","2009-10","league one","35","7","0","0","1","0","1","0","37","7"
"yeovil town","total","total","77","14","2","0","3","1","2","1","84","16"
"dagenham & redbridge","2010-11","league one","19","2","1","0","0","0","0","0","20","2"
"dagenham & redbridge","2011-12","league two","17","0","2","0","1","0","2","0","22","0"
"dagenham & redbridge","total","total","36","2","3","0","1","0","2","0","42","2"
"torquay united","2010-11","league two","12","4","0","0","0","0","3","0","15","4"
"gillingham","2011-12","league two","10","6","0","0","0","0","0","0","10","6"
"southend united","2012-13","league two","33","13","5","2","0","0","4","1","42","16"
"port vale","2013-14","league one","23","5","3","1","1","0","0","0","27","6"
"crawley town","2014-15","league one","35","3","1","0","1","0","3","0","40","3"
"crawley town","2015-16","league two","16","0","0","0","0","0","1","0","17","0"
"crawley town","total","total","51","3","1","0","1","0","4","0","57","3"
"dulwich hamlet","2016-17","isthmian league premier division","40","11","3","2","-","-","18","6","61","19"
"dulwich hamlet","2018-19","national league south","17","1","0","0","-","-","1","0","18","1"
"career total","career total","career total","323","59","17","5","7","1","37","9","385","74"
