"selected characteristics","total custody","total custody","total community supervision","total community supervision","total correctional services","total correctional services"
"selected characteristics","number","percent","number","percent","number","percent"
"sex","","","","","",""
"male","6,706","76","7,745","76","14,451","76"
"female","2,151","24","2,445","24","4,596","24"
"age","","","","","",""
"12 years","63","1","72","1","135","1"
"13 years","312","4","344","3","656","3"
"14 years","875","10","887","9","1,762","9"
"15 years","1,696","19","1,611","16","3,307","17"
"16 years","2,350","27","2,317","23","4,667","24"
"17 years","2,914","33","2,871","28","5,785","30"
"18 years and older","647","7","2,110","21","2,757","14"
"aboriginal identity","","","","","",""
"aboriginal","4,306","50","3,956","42","8,262","46"
"non-aboriginal","4,247","50","5,358","58","9,605","54"
"total-all jurisdictions","8,857","100","10,212","100","19,069","100"
