"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","2000-01","second division","0","0","0","0","0","0","1","0","1","0"
"stoke city","2001-02","second division","24","0","2","0","1","0","1","0","28","0"
"stoke city","2002-03","first division","18","1","3","0","1","0","-","-","22","1"
"stoke city","2003-04","first division","20","0","0","0","1","0","-","-","21","0"
"stoke city","2004-05","championship","34","0","1","0","1","0","-","-","36","0"
"stoke city","2005-06","championship","24","0","3","0","1","0","-","-","28","0"
"stoke city","total","total","120","1","9","0","5","0","2","0","136","1"
"cheltenham town","2003-04","third division","9","1","-","-","9","1","none","none","none","none"
"wolverhampton wanderers","2006-07","championship","34","3","3","0","1","0","0","0","38","3"
"wolverhampton wanderers","2007-08","championship","40","3","2","0","2","0","-","-","44","3"
"wolverhampton wanderers","2008-09","championship","43","0","2","0","2","0","-","-","47","0"
"wolverhampton wanderers","2009-10","premier league","34","0","3","1","1","0","-","-","38","1"
"wolverhampton wanderers","2010-11","premier league","29","0","2","0","0","0","-","-","31","0"
"wolverhampton wanderers","2011-12","premier league","31","0","1","0","1","0","-","-","33","0"
"wolverhampton wanderers","2012-13","championship","39","0","1","0","1","0","-","-","41","0"
"wolverhampton wanderers","total","total","250","6","14","1","8","0","0","0","272","7"
"queens park rangers","2013-14","championship","27","1","1","0","0","0","1","0","29","1"
"queens park rangers","2014-15","premier league","33","0","1","0","1","0","-","-","35","0"
"queens park rangers","2015-16","championship","38","1","0","0","1","0","-","-","39","1"
"queens park rangers","2016-17","championship","14","0","0","0","1","0","-","-","15","0"
"queens park rangers","total","total","112","2","2","0","3","0","1","0","118","2"
"bolton wanderers","2017-18","championship","33","1","0","0","0","0","0","0","33","1"
"bradford city","2018-19","league one","4","0","2","0","0","0","0","0","6","0"
"career total","career total","career total","528","11","27","1","16","0","3","0","574","12"
