"","2002-2004 cohort","2002-2004 cohort","1997-1999 cohort","1997-1999 cohort","1997-1999 cohort"
"","1 to 2 years","5 to 6 years","1 to 2 years","5 to 6 years","10 to 11 years"
"","model 1","model 2","model 1","model 2","model 3"
"r-squared of the full model","0.136","0.070","0.096","0.078","0.085"
"unique contribution to the r-squared","","","","",""
"age","0.003","0.012","0.011","0.015","0.020"
"education","0.001","0.005","0.009","0.016","0.021"
"language","0.032","0.016","0.023","0.017","0.014"
"canadian work experience","0.045","0.016","0.030","0.011","0.006"
"studies in canada","0.001","0.000","0.002","0.001","0.001"
"spouse's education","0.001","0.002","0.002","0.003","0.003"
"spouse's canadian work experience","0.002","0.001","0.000","0.000","0.000"
"spouse's studies in canada","0.000","0.000","0.000","0.000","0.000"
"contribution of selected common components to the r-squared","","","","",""
"age, education","0.000","0.000","0.000","0.000","0.000"
"age, language","-0.001","-0.002","-0.001","-0.001","-0.002"
"age, canadian work experience","-0.001","-0.001","0.000","0.000","0.000"
"education, language","0.000","-0.001","-0.002","-0.002","-0.002"
"education, canadian work experience","0.003","0.001","0.004","0.003","0.003"
"language, canadian work experience","0.019","0.008","0.011","0.005","0.003"
